Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Afghanistan,AFG,..,23.5157270361909,34.177027723266,35.4570999886872,36.7499624027606,38.0558319810101,39.3749320885894,40.7077070107199,42.0541827707493,43.4176100145511,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Albania,ALB,..,88.3274959275497,95.5716999202353,96.1847704181257,96.7764332336587,97.3125483043076,97.6768549535362,97.6910339666252,97.7048765530935,97.7183683821447,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Algeria,DZA,..,83.730576615396,86.5604296919394,86.7717408223521,86.9706485089717,87.1574535295076,87.3327341136295,87.4967167440158,87.5423164577779,87.5865709329942,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,American Samoa,ASM,..,64.8781046960693,62.5281867583771,61.3742875815433,60.2205725883875,59.0670417789088,57.9136951531078,56.7605327109848,55.6075544525389,54.4547603777711,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Andorra,AND,..,100,99.9999966121292,99.9999954451919,100.000001156937,100,99.9999975924307,100.00000244488,100,99.9999962826959,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Angola,AGO,..,27.5575240889137,41.0607930612985,42.3266652444817,43.5914728138515,44.8547932791001,46.1170309780224,47.3744793353905,48.6279447858576,49.8769787577501,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Antigua and Barbuda,ATG,..,82.4093084142015,86.3285191605197,86.7204402351516,87.1123613097834,87.5042823844152,87.5042823844152,87.5042823844152,87.5042823844152,87.5042823844152,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Argentina,ARG,..,86.9753089524854,92.6217791379891,93.1824993783585,93.7417481852165,94.1675570736228,94.2010482970055,94.2348507736493,94.2585054176821,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Armenia,ARM,..,86.9020077883816,90.9621777746264,91.3755731772587,91.7896816368386,92.208479764726,92.6320407524375,93.0606067851468,93.4069715588385,93.6423072695355,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Aruba,ABW,..,98.3202099737533,97.672935926044,97.6082085212731,97.5434811165022,97.5434811165022,97.5434811165022,97.5434811165022,97.5434811165022,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Australia,AUS,..,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Austria,AUT,..,99.9999825282685,99.9858330250449,99.9841121228219,99.9823112215371,99.9804576387726,99.9785889656659,99.9767087846052,99.9748135182502,99.9729096123263,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Azerbaijan,AZE,..,63.210341837375,82.5463325488715,84.7827446220276,87.0367194222409,89.3082884004391,90.9184365681072,92.4560650540911,92.4830948823569,92.5114453471259,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Bahamas, The",BHS,..,87.6018273385256,92.8382766265486,93.3695753499573,93.9022656723855,94.2450378918434,94.5878101113014,94.9305823307593,94.9305823307593,94.9305823307593,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bahrain,BHR,..,99.8544002397882,99.9896000171277,100,100,100,100,100,100,100,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bangladesh,BGD,..,25.6440404705312,39.2046130132118,40.538099188074,41.8597414785269,43.1681510831289,44.4627029692762,45.7421610879166,47.0058028392138,48.2332427177019,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Barbados,BRB,..,88.8534902197376,93.854778577979,94.3549074138031,94.8550362496273,95.3551650854515,95.8552939212757,96.3554227570998,96.855551592924,97.2793784985907,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belarus,BLR,..,91.6736276175404,95.4109795671211,95.9850888293028,96.5668357378464,97.1560728848175,97.7526376167495,97.7649765159934,97.7777512941361,97.7909519750284,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belgium,BEL,..,99.4833108435927,99.4860712773164,99.4860703905843,99.4860649540609,99.4860675734247,99.486064028335,99.4860616896739,99.4860576241743,99.486060200783,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belize,BLZ,..,82.4379862479792,85.6277072662178,85.9422351850168,86.2578564152308,86.5747580136313,86.8930432804845,87.2129839781893,87.5347760228182,87.8585235497944,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Benin,BEN,..,8.60482880163903,13.3875959381188,13.9409263796284,14.5064867101912,15.0837618912563,15.6739162829555,16.0117408146427,16.3511377872339,16.4529205701784,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bermuda,BMU,..,99.9941429050383,99.9183071650594,99.9107235910615,99.9031400170636,99.9031400170636,99.9031400170636,99.9031400170636,99.9031400170636,99.9031400170636,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bhutan,BTN,..,49.7648678779012,61.8950646174091,63.0278740417908,64.1331137062707,65.2108405257024,66.2613527077674,67.2851063276581,68.2824838214476,69.2539354517128,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bolivia,BOL,..,34.5145179782466,47.799686919,49.5824052821373,51.3925808171967,53.2121330623575,55.0474922215253,56.9099798669174,58.8000080540831,60.7169375713243,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bosnia and Herzegovina,BIH,..,95.0784432803657,95.2184856098723,95.2360130639489,95.2539072490449,95.2720360179268,95.2905323559872,95.3129369967902,95.3361487686584,95.3602353087281,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Botswana,BWA,..,51.9161137492347,66.8374053579315,68.592319451826,70.1498570211884,71.6801397886209,73.2176910933369,74.7620657737556,76.0173099341028,77.2692247843667,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Brazil,BRA,..,72.8637141854533,82.1170213264266,83.0145564938286,83.9070988456805,84.7940502928947,85.676585913056,86.5540917460118,87.426360059913,88.2938494055597,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,British Virgin Islands,VGB,..,96.7851983961345,96.8458493024197,96.8519143930482,96.8579794836767,96.8579794836767,96.8579794836767,96.8579794836767,96.8579794836767,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Brunei Darussalam,BRN,..,..,96.3490419463857,96.3490419463857,96.3490419463857,96.3490419463857,96.3490419463857,96.3490419463857,..,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bulgaria,BGR,..,85.8273532296862,85.9313531364795,85.941619549318,85.9519231719859,85.9622512936689,85.9725800142112,85.9829416171269,85.9933057341552,86.0036981124037,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Burkina Faso,BFA,..,11.2876519207883,16.9791737547981,17.3937919658064,17.7859552319091,18.1554307680267,18.5023008777199,18.8259930750013,19.1262790401477,19.4020870942332,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Burundi,BDI,..,45.2147438357859,45.9300724555156,45.9277130639938,45.9213289130441,45.9106193377862,45.8955054064001,45.8757101376602,45.8510192551699,45.8212048667364,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cabo Verde,CPV,..,40.0408672386966,60.9381535680237,62.8647919376957,64.781768592968,66.6889307482781,68.5863650584288,70.4741484338521,72.2460008187226,73.8537867599119,..,..
