Country Name,2018 Number of incident tuberculosis cases
Afghanistan,70000 [45000-100000]
Albania,510 [430-580]
Algeria,29000 [22000-37000]
Andorra,2 [2-3]
Angola,109000 [71000-156000]
Antigua and Barbuda,6 [5-7]
Argentina,12000 [10000-14000]
Armenia,920 [700-1200]
Australia,1700 [1400-1900]
Austria,630 [540-730]
Azerbaijan,6300 [4800-8000]
Bahamas,54 [46-62]
Bahrain,180 [150-200]
Bangladesh,357000 [260000-469000]
Barbados,1 [1-1]
Belarus,2900 [2300-3700]
Belgium,1000 [880-1200]
Belize,110 [97-130]
Benin,6500 [4200-9300]
Bhutan,1100 [860-1400]
Bolivia (Plurinational State of),12000 [8000-17000]
Bosnia and Herzegovina,830 [640-1100]
Botswana,6200 [4800-7800]
Brazil,95000 [81000-110000]
Brunei Darussalam,290 [250-330]
Bulgaria,1600 [1200-2000]
Burkina Faso,9500 [6200-14000]
Burundi,12000 [8000-18000]
Cabo Verde,250 [190-320]
Cambodia,49000 [27000-77000]
Cameroon,47000 [30000-67000]
Canada,2100 [1800-2400]
Central African Republic,25000 [16000-36000]
Chad,22000 [14000-31000]
Chile,3400 [2900-3900]
China,866000 [740000-1000000]
Colombia,16000 [12000-21000]
Comoros,290 [190-410]
Congo,20000 [12000-28000]
Cook Islands,0 [0-0]
Costa Rica,500 [380-630]
Côte d’Ivoire,36000 [23000-51000]
Croatia,350 [300-400]
Cuba,820 [700-940]
Cyprus,65 [55-75]
Czechia,580 [500-670]
Democratic People's Republic of Korea,131000 [114000-149000]
Democratic Republic of the Congo,270000 [175000-385000]
Denmark,310 [270-360]
Djibouti,2500 [1900-3200]
Dominica,5 [4-5]
Dominican Republic,4800 [3700-6100]
Ecuador,7400 [5700-9400]
Egypt,12000 [11000-14000]
El Salvador,4500 [3500-5700]
Equatorial Guinea,2600 [2300-3000]
Eritrea,3100 [1400-5400]
Estonia,170 [140-190]
Eswatini,3700 [2900-4700]
Ethiopia,165000 [116000-223000]
Fiji,480 [370-610]
Finland,260 [220-300]
France,5800 [5100-6500]
Gabon,11000 [7200-16000]
Gambia,4000 [3000-5000]
Georgia,3200 [2700-3800]
Germany,6100 [5200-7000]
Ghana,44000 [21000-75000]
Greece,470 [400-550]
Grenada,2 [2-3]
Guatemala,4500 [3400-5600]
Guinea,22000 [14000-31000]
Guinea-Bissau,6800 [4400-9700]
Guyana,640 [490-820]
Haiti,20000 [15000-25000]
Honduras,3500 [2700-4500]
Hungary,620 [530-720]
Iceland,9 [8-11]
India,2690000 [1840000-3700000]
Indonesia,845000 [770000-923000]
Iran (Islamic Republic of),11000 [8500-14000]
Iraq,16000 [14000-18000]
Ireland,340 [290-390]
Israel,340 [290-390]
Italy,4300 [3700-4900]
Jamaica,86 [66-110]
Japan,18000 [15000-21000]
Jordan,500 [380-630]
Kazakhstan,12000 [8100-18000]
Kenya,150000 [92000-222000]
Kiribati,400 [310-510]
Kuwait,940 [810-1100]
Kyrgyzstan,7300 [6200-8400]
Lao People's Democratic Republic,11000 [7400-16000]
Latvia,560 [480-650]
Lebanon,750 [650-870]
Lesotho,13000 [8300-18000]
Liberia,15000 [9600-21000]
Libya,2700 [1700-3900]
Lithuania,1200 [1000-1400]
Luxembourg,48 [41-56]
Madagascar,61000 [40000-87000]
Malawi,33000 [20000-48000]
Malaysia,29000 [25000-33000]
Maldives,170 [130-220]
Mali,10000 [6700-14000]
Malta,60 [51-69]
Marshall Islands,250 [190-320]
Mauritania,4100 [2700-5900]
Mauritius,160 [130-210]
Mexico,29000 [22000-37000]
Micronesia (Federated States of),120 [93-150]
Monaco,0 [0-0]
Mongolia,14000 [7000-22000]
Montenegro,97 [83-110]
Morocco,36000 [30000-41000]
Mozambique,162000 [105000-232000]
Myanmar,181000 [119000-256000]
Namibia,13000 [9200-17000]
Nauru,6 [5-7]
Nepal,42000 [37000-48000]
Netherlands,910 [780-1100]
New Zealand,350 [300-400]
Nicaragua,2600 [2000-3300]
Niger,19000 [13000-28000]
Nigeria,429000 [280000-609000]
Niue,1 [1-1]
Norway,220 [190-250]
Oman,280 [240-330]
Pakistan,562000 [399000-754000]
Palau,20 [17-23]
Panama,2200 [1600-2700]
Papua New Guinea,37000 [30000-45000]
Paraguay,3000 [2500-3400]
Peru,39000 [30000-50000]
Philippines,591000 [332000-924000]
Poland,6000 [5100-6900]
Portugal,2400 [2100-2800]
Qatar,860 [740-1000]
Republic of Korea,34000 [31000-36000]
Republic of Moldova,3500 [3000-4000]
Romania,13000 [11000-15000]
Russian Federation,79000 [51000-112000]
Rwanda,7300 [5600-9200]
Saint Kitts and Nevis,0 [0-0]
Saint Lucia,6 [5-7]
Saint Vincent and the Grenadines,7 [6-8]
Samoa,13 [11-15]
San Marino,0 [0-0]
Sao Tome and Principe,260 [100-490]
Saudi Arabia,3400 [2900-3900]
Senegal,19000 [13000-25000]
Serbia,1500 [1300-1800]
Seychelles,17 [15-20]
Sierra Leone,23000 [15000-33000]
Singapore,2700 [2300-3100]
Slovakia,310 [270-360]
Slovenia,110 [95-130]
Solomon Islands,480 [370-610]
Somalia,39000 [25000-56000]
South Africa,301000 [215000-400000]
South Sudan,16000 [10000-23000]
Spain,4400 [3800-5100]
Sri Lanka,14000 [10000-18000]
Sudan,30000 [21000-41000]
Suriname,220 [170-280]
Sweden,550 [470-630]
Switzerland,540 [470-630]
Syrian Arab Republic,3300 [2500-4200]
Tajikistan,7600 [5900-9600]
Thailand,106000 [81000-136000]
The former Yugoslav Republic of Macedonia,270 [210-340]
Timor-Leste,6300 [4100-9000]
Togo,2800 [2300-3400]
Tonga,10 [9-12]
Trinidad and Tobago,290 [250-340]
Tunisia,4000 [3100-5100]
Turkey,13000 [11000-15000]
Turkmenistan,2700 [2100-3400]
Tuvalu,31 [27-36]
Uganda,86000 [50000-130000]
Ukraine,36000 [23000-51000]
United Arab Emirates,99 [85-110]
United Kingdom of Great Britain and Northern Ireland,5400 [4800-5900]
United Republic of Tanzania,142000 [67000-245000]
United States of America,9800 [8400-11000]
Uruguay,1200 [990-1300]
Uzbekistan,23000 [16000-31000]
Vanuatu,130 [100-170]
Venezuela (Bolivarian Republic of),14000 [11000-17000]
Viet Nam,174000 [111000-251000]
Yemen,14000 [12000-15000]
Zambia,60000 [39000-86000]
Zimbabwe,30000 [22000-39000]
