Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Afghanistan,AFG,..,..,8.6,..,..,..,..,..,..,..,..,9.2
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Albania,ALB,..,..,4.5,..,..,..,..,..,..,..,..,9
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Algeria,DZA,..,..,8.5,..,..,..,..,..,..,..,..,6.7
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Andorra,AND,..,..,6.6,..,..,..,..,..,..,..,..,7.7
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Angola,AGO,..,..,3.5,..,..,..,..,..,..,..,..,4.5
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Antigua and Barbuda,ATG,..,..,7.1,..,..,..,..,..,..,..,..,13.1
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Argentina,ARG,..,..,5.7,..,..,..,..,..,..,..,..,5.9
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Armenia,ARM,..,..,7.8,..,..,..,..,..,..,..,..,6.1
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Aruba,ABW,..,..,10.2,..,..,..,..,..,..,..,..,11.6
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Australia,AUS,..,..,5.7,..,..,..,..,..,..,..,..,5.6
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Austria,AUT,..,..,8.9,..,..,..,..,..,..,..,..,6.6
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Azerbaijan,AZE,..,..,7.5,..,..,..,..,..,..,..,..,6.1
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,"Bahamas, The",BHS,..,..,10.4,..,..,..,..,..,..,..,..,8.8
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Bahrain,BHR,..,..,15.4,..,..,..,..,..,..,..,..,15.6
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Bangladesh,BGD,..,..,6.6,..,..,..,..,..,..,..,..,9.2
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Barbados,BRB,..,..,8,..,..,..,..,..,..,..,..,13.4
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Belarus,BLR,..,..,7.6,..,..,..,..,..,..,..,..,5
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Belgium,BEL,..,..,5.3,..,..,..,..,..,..,..,..,4.6
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Belize,BLZ,..,..,9.8,..,..,..,..,..,..,..,..,17.1
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Benin,BEN,..,..,4.6,..,..,..,..,..,..,..,..,1
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Bermuda,BMU,..,..,10.2,..,..,..,..,..,..,..,..,6.7
