Country Name,Year,Dgghe(% of GDP)
Afghanistan,2015,0.5226728041
Afghanistan,2016,0.5566325039
Afghanistan,2017,0.6001444068
Albania,2015,4.431013018
Albania,2016,4.383293912
Albania,2017,4.277553782
Algeria,2015,4.916987196
Algeria,2016,4.469769821
Algeria,2017,4.204164073
American Samoa,2015,..
American Samoa,2016,..
American Samoa,2017,..
Andorra,2015,4.954714701
Andorra,2016,5.060372874
Andorra,2017,5.060372874
Angola,2015,1.234240737
Angola,2016,1.197536662
Angola,2017,1.291868743
Antigua and Barbuda,2015,2.607030608
Antigua and Barbuda,2016,2.139426209
Antigua and Barbuda,2017,2.132346109
Arab World,2015,2.971972748
Arab World,2016,2.853755127
Arab World,2017,2.813887052
Argentina,2015,6.824374199
Argentina,2016,5.591186509
Argentina,2017,6.6089347
Armenia,2015,1.610209234
Armenia,2016,1.637344621
Armenia,2017,1.372506004
Aruba,2015,..
Aruba,2016,..
Aruba,2017,..
Australia,2015,6.353408843
Australia,2016,6.308033317
Australia,2017,6.344080716
Austria,2015,7.512087375
Austria,2016,7.524191588
Austria,2017,7.526375353
Azerbaijan,2015,1.302618254
Azerbaijan,2016,1.16339745
Azerbaijan,2017,1.004912797
"Bahamas, The",2015,2.866350114
"Bahamas, The",2016,3.023904003
"Bahamas, The",2017,2.526399493
Bahrain,2015,3.228061274
Bahrain,2016,2.981213853
Bahrain,2017,2.752862871
Bangladesh,2015,0.4342642613
Bangladesh,2016,0.3794977674
Bangladesh,2017,0.3796480829
Barbados,2015,3.193218261
Barbados,2016,3.143948317
Barbados,2017,2.996434458
Belarus,2015,3.686742112
Belarus,2016,4.192987829
Belarus,2017,4.145893827
Belgium,2015,7.974552363
Belgium,2016,7.943906635
Belgium,2017,7.983250171
Belize,2015,4.09517698
Belize,2016,4.08821255
Belize,2017,3.835783899
Benin,2015,0.8038078435
Benin,2016,0.7918504067
Benin,2017,1.114997268
Bermuda,2015,..
Bermuda,2016,..
Bermuda,2017,..
Bhutan,2015,2.716181986
Bhutan,2016,2.579309605
Bhutan,2017,2.374874242
Bolivia,2015,4.350081086
Bolivia,2016,4.442098737
Bolivia,2017,4.415350407
Bosnia and Herzegovina,2015,6.618624181
Bosnia and Herzegovina,2016,6.554307044
Bosnia and Herzegovina,2017,6.295257807
Botswana,2015,3.880019113
Botswana,2016,3.698996454
Botswana,2017,4.641389474
Brazil,2015,3.806364909
Brazil,2016,3.954967856
Brazil,2017,3.964920342
British Virgin Islands,2015,..
British Virgin Islands,2016,..
British Virgin Islands,2017,..
Brunei Darussalam,2015,2.268365398
Brunei Darussalam,2016,2.421386912
Brunei Darussalam,2017,2.250356041
Bulgaria,2015,4.171523452
Bulgaria,2016,4.161404073
Bulgaria,2017,4.19922322
Burkina Faso,2015,1.652933657
Burkina Faso,2016,2.811121941
Burkina Faso,2017,2.994354814
Burundi,2015,2.499624714
Burundi,2016,1.803448237
Burundi,2017,1.857886836
Cabo Verde,2015,3.173502535
Cabo Verde,2016,3.079427965
Cabo Verde,2017,3.111934848
Cambodia,2015,1.344651449
Cambodia,2016,1.33381458
Cambodia,2017,1.408793498
Cameroon,2015,0.6795617752
Cameroon,2016,0.61778198
Cameroon,2017,0.6220196374
Canada,2015,7.841788232
Canada,2016,7.935039699
Canada,2017,7.794101536
Caribbean small states,2015,3.109570759
Caribbean small states,2016,3.347179741
Caribbean small states,2017,3.323143174
Cayman Islands,2015,..
Cayman Islands,2016,..
Cayman Islands,2017,..
Central African Republic,2015,0.5216812249
Central African Republic,2016,0.6297260523
Central African Republic,2017,0.7465049624
Central Europe and the Baltics,2015,4.738777022
Central Europe and the Baltics,2016,4.795054308
Central Europe and the Baltics,2017,4.775612125
Chad,2015,0.9619843215
Chad,2016,0.8311253041
Chad,2017,0.7092436776
Channel Islands,2015,..
Channel Islands,2016,..
Channel Islands,2017,..
Chile,2015,3.98668088
Chile,2016,4.226770252
Chile,2017,4.496993497
China,2015,2.942082845
China,2016,2.894544043
China,2017,2.919353731
Colombia,2015,5.105668679
Colombia,2016,4.957744852
Colombia,2017,4.899393395
Comoros,2015,1.049898472
Comoros,2016,1.122444589
Comoros,2017,0.9413624182
"Congo, Dem. Rep.",2015,0.6531131454
"Congo, Dem. Rep.",2016,0.4906125832
"Congo, Dem. Rep.",2017,0.3958434332
"Congo, Rep.",2015,1.555430796
"Congo, Rep.",2016,1.571323723
"Congo, Rep.",2017,1.193671394
Costa Rica,2015,5.687703565
Costa Rica,2016,5.523832887
Costa Rica,2017,5.387344584
Cote d'Ivoire,2015,1.083173417
Cote d'Ivoire,2016,1.153845992
Cote d'Ivoire,2017,1.267342456
Croatia,2015,5.640484765
Croatia,2016,5.649651587
Croatia,2017,5.623243004
Cuba,2015,11.57496348
Cuba,2016,10.94965264
Cuba,2017,10.47486067
Curacao,2015,..
Curacao,2016,..
Curacao,2017,..
Cyprus,2015,2.86542885
Cyprus,2016,2.858416922
Cyprus,2017,2.833861858
Czech Republic,2015,5.955933407
Czech Republic,2016,5.853971466
Czech Republic,2017,5.911539868
Denmark,2015,8.609555662
Denmark,2016,8.564700186
Denmark,2017,8.493383974
Djibouti,2015,2.397514693
Djibouti,2016,1.83323063
Djibouti,2017,1.560381427
Dominica,2015,3.573778272
Dominica,2016,3.407726437
Dominica,2017,3.817816451
Dominican Republic,2015,2.4489576
Dominican Republic,2016,2.787668258
Dominican Republic,2017,2.822881564
Early-demographic dividend,2015,2.653239316
Early-demographic dividend,2016,2.546694784
Early-demographic dividend,2017,2.548845061
East Asia & Pacific,2015,4.43961853
East Asia & Pacific,2016,4.504509922
East Asia & Pacific,2017,4.456971875
East Asia & Pacific (excluding high income),2015,2.744282016
East Asia & Pacific (excluding high income),2016,2.713324269
East Asia & Pacific (excluding high income),2017,2.741305533
East Asia & Pacific (IDA & IBRD countries),2015,2.744303386
East Asia & Pacific (IDA & IBRD countries),2016,2.713401972
East Asia & Pacific (IDA & IBRD countries),2017,2.741370416
Ecuador,2015,4.241139814
Ecuador,2016,4.236611351
Ecuador,2017,4.36164625
"Egypt, Arab Rep.",2015,1.667329669
"Egypt, Arab Rep.",2016,1.655683666
"Egypt, Arab Rep.",2017,1.744668558
El Salvador,2015,4.906299338
El Salvador,2016,4.975220188
El Salvador,2017,4.607252404
Equatorial Guinea,2015,0.5543936975
Equatorial Guinea,2016,0.6944858003
Equatorial Guinea,2017,0.5851469003
Eritrea,2015,0.3578638192
Eritrea,2016,0.8646768518
Eritrea,2017,0.7820543833
Estonia,2015,4.811638594
Estonia,2016,4.904843867
Estonia,2017,4.800739512
Eswatini,2015,2.976008691
Eswatini,2016,2.844868042
Eswatini,2017,3.516842425
Ethiopia,2015,0.9654075839
Ethiopia,2016,0.915685948
Ethiopia,2017,0.8737191558
Euro area,2015,7.603446198
Euro area,2016,7.608315663
Euro area,2017,7.571416883
Europe & Central Asia,2015,6.77588478
Europe & Central Asia,2016,6.818966021
Europe & Central Asia,2017,6.743159718
Europe & Central Asia (excluding high income),2015,3.128828314
Europe & Central Asia (excluding high income),2016,3.164643868
Europe & Central Asia (excluding high income),2017,3.14908664
Europe & Central Asia (IDA & IBRD countries),2015,3.336410404
Europe & Central Asia (IDA & IBRD countries),2016,3.383332166
Europe & Central Asia (IDA & IBRD countries),2017,3.368430041
European Union,2015,7.454155281
European Union,2016,7.460710634
European Union,2017,7.420171453
Faroe Islands,2015,..
Faroe Islands,2016,..
Faroe Islands,2017,..
Fiji,2015,2.252596244
Fiji,2016,2.258818597
Fiji,2017,2.318574488
Finland,2015,7.530388236
Finland,2016,7.214275002
Finland,2017,7.065862417
Fragile and conflict affected situations,2015,1.040348977
Fragile and conflict affected situations,2016,0.9821345982
Fragile and conflict affected situations,2017,1.209941626
France,2015,8.787080646
France,2016,8.824244142
France,2017,8.721329272
French Polynesia,2015,..
French Polynesia,2016,..
French Polynesia,2017,..
Gabon,2015,1.565493084
Gabon,2016,2.010550164
Gabon,2017,1.75979957
"Gambia, The",2015,0.5339345895
"Gambia, The",2016,0.6085500587
"Gambia, The",2017,0.7513606455
Georgia,2015,2.82151401
Georgia,2016,3.085603379
Georgia,2017,2.829022147
Germany,2015,8.529745787
Germany,2016,8.597800136
Germany,2017,8.734278381
Ghana,2015,1.621400379
Ghana,2016,1.327707153
Ghana,2017,1.091928501
Gibraltar,2015,..
Gibraltar,2016,..
Gibraltar,2017,..
Greece,2015,4.641812295
Greece,2016,5.006574094
Greece,2017,4.839150235
Greenland,2015,..
Greenland,2016,..
Greenland,2017,..
Grenada,2015,1.948279887
Grenada,2016,2.163701877
Grenada,2017,2.031131834
Guam,2015,..
Guam,2016,..
Guam,2017,..
Guatemala,2015,2.215192653
Guatemala,2016,2.187749185
Guatemala,2017,2.083958872
Guinea,2015,0.4293120466
Guinea,2016,0.6568331271
Guinea,2017,0.7083004806
Guinea-Bissau,2015,0.6573140621
Guinea-Bissau,2016,0.5800896324
Guinea-Bissau,2017,0.5931776017
Guyana,2015,2.254996635
Guyana,2016,3.239079565
Guyana,2017,2.961717919
Haiti,2015,0.9536058642
Haiti,2016,0.9296988137
Haiti,2017,0.9527046233
Heavily indebted poor countries (HIPC),2015,1.636042456
Heavily indebted poor countries (HIPC),2016,1.575130011
Heavily indebted poor countries (HIPC),2017,1.486873976
High income,2015,7.686338559
High income,2016,7.762358369
High income,2017,7.707917071
Honduras,2015,2.973686159
Honduras,2016,3.377159685
Honduras,2017,3.150488064
"Hong Kong SAR, China",2015,..
"Hong Kong SAR, China",2016,..
"Hong Kong SAR, China",2017,..
Hungary,2015,4.725294933
Hungary,2016,4.829196259
Hungary,2017,4.729105905
IBRD only,2015,2.95709191
IBRD only,2016,2.911749158
IBRD only,2017,2.956724031
Iceland,2015,6.588947773
Iceland,2016,6.624033302
Iceland,2017,6.8132855
IDA & IBRD total,2015,2.826950535
IDA & IBRD total,2016,2.788678328
IDA & IBRD total,2017,2.834281069
IDA blend,2015,1.072465234
IDA blend,2016,1.098878267
IDA blend,2017,1.119494579
IDA only,2015,1.270088902
IDA only,2016,1.204128232
IDA only,2017,1.145993881
IDA total,2015,1.168386227
IDA total,2016,1.152069003
IDA total,2017,1.133652138
India,2015,0.9219318628
India,2016,0.9422921576
India,2017,0.9591056965
Indonesia,2015,1.213009376
Indonesia,2016,1.398181822
Indonesia,2017,1.445900928
"Iran, Islamic Rep.",2015,4.041940719
"Iran, Islamic Rep.",2016,4.483803362
"Iran, Islamic Rep.",2017,4.437844455
Iraq,2015,0.7303820457
Iraq,2016,0.7035813294
Iraq,2017,1.744173653
Ireland,2015,5.283389986
Ireland,2016,5.350690335
Ireland,2017,5.265796185
Isle of Man,2015,..
Isle of Man,2016,..
Isle of Man,2017,..
Israel,2015,4.498664662
Israel,2016,4.654521495
Israel,2017,4.713004455
Italy,2015,6.704375148
Italy,2016,6.627199054
Italy,2017,6.532720476
Jamaica,2015,3.580339625
Jamaica,2016,3.671963513
Jamaica,2017,3.874400631
Japan,2015,9.152859449
Japan,2016,9.097472578
Japan,2017,9.19630155
Jordan,2015,4.06537801
Jordan,2016,3.534195945
Jordan,2017,3.63746807
Kazakhstan,2015,1.926495694
Kazakhstan,2016,2.058633789
Kazakhstan,2017,1.940260269
Kenya,2015,2.107612044
Kenya,2016,2.148430049
Kenya,2017,2.052571997
Kiribati,2015,6.807017326
Kiribati,2016,7.413739711
Kiribati,2017,8.15397203
"Korea, Dem. People’s Rep.",2015,..
"Korea, Dem. People’s Rep.",2016,..
"Korea, Dem. People’s Rep.",2017,..
"Korea, Rep.",2015,4.038258642
"Korea, Rep.",2016,4.21722047
"Korea, Rep.",2017,4.362900928
Kosovo,2015,..
Kosovo,2016,..
Kosovo,2017,..
Kuwait,2015,3.376555443
Kuwait,2016,3.335985541
Kuwait,2017,4.623860493
Kyrgyz Republic,2015,2.711628005
Kyrgyz Republic,2016,2.497234009
Kyrgyz Republic,2017,2.347674593
Lao PDR,2015,0.8639130741
Lao PDR,2016,0.7649484091
Lao PDR,2017,0.8885542862
Late-demographic dividend,2015,3.165588073
Late-demographic dividend,2016,3.155820383
Late-demographic dividend,2017,3.182372066
Latin America & Caribbean,2015,4.196736532
Latin America & Caribbean,2016,4.098104472
Latin America & Caribbean,2017,4.202951473
Latin America & Caribbean (excluding high income),2015,4.195736762
Latin America & Caribbean (excluding high income),2016,4.063159729
Latin America & Caribbean (excluding high income),2017,4.165636134
Latin America & the Caribbean (IDA & IBRD countries),2015,4.069207897
Latin America & the Caribbean (IDA & IBRD countries),2016,3.970179161
Latin America & the Caribbean (IDA & IBRD countries),2017,4.093126556
Latvia,2015,3.351109847
Latvia,2016,3.470766172
Latvia,2017,3.403235227
Least developed countries: UN classification,2015,1.129957919
Least developed countries: UN classification,2016,1.033613527
Least developed countries: UN classification,2017,1.0191117
Lebanon,2015,3.817507252
Lebanon,2016,3.888128325
Lebanon,2017,4.099531099
Lesotho,2015,5.437123775
Lesotho,2016,5.153386667
Lesotho,2017,5.513805524
Liberia,2015,1.178293582
Liberia,2016,1.384231634
Liberia,2017,1.403089147
Libya,2015,..
Libya,2016,..
Libya,2017,..
Liechtenstein,2015,..
Liechtenstein,2016,..
Liechtenstein,2017,..
Lithuania,2015,4.279275611
Lithuania,2016,4.369175807
Lithuania,2017,4.226984829
Low & middle income,2015,2.800969803
Low & middle income,2016,2.755209114
Low & middle income,2017,2.797053912
Low income,2015,1.068302622
Low income,2016,1.227265656
Low income,2017,1.25026602
Lower middle income,2015,1.263983684
Lower middle income,2016,1.290311433
Lower middle income,2017,1.293708804
Luxembourg,2015,4.645314068
Luxembourg,2016,4.639511183
Luxembourg,2017,4.651046917
"Macao SAR, China",2015,..
"Macao SAR, China",2016,..
"Macao SAR, China",2017,..
Madagascar,2015,2.322478592
Madagascar,2016,2.818723023
Madagascar,2017,2.579382248
Malawi,2015,2.673993073
Malawi,2016,2.718624659
Malawi,2017,2.956800908
Malaysia,2015,2.067884989
Malaysia,2016,1.917624846
Malaysia,2017,1.952420548
Maldives,2015,6.26598075
Maldives,2016,7.367144525
Maldives,2017,6.45244047
Mali,2015,0.9192737751
Mali,2016,1.209282689
Mali,2017,1.325374097
Malta,2015,5.602385849
Malta,2016,5.762852728
Malta,2017,5.891198665
Marshall Islands,2015,6.585399806
Marshall Islands,2016,7.056575269
Marshall Islands,2017,6.203330681
Mauritania,2015,1.815727167
Mauritania,2016,1.641769893
Mauritania,2017,1.708467864
Mauritius,2015,2.375490591
Mauritius,2016,2.517403476
Mauritius,2017,2.451457456
Mexico,2015,3.077319264
Mexico,2016,2.942397818
Mexico,2017,2.841705829
"Micronesia, Fed. Sts.",2015,3.224943206
"Micronesia, Fed. Sts.",2016,3.413019329
"Micronesia, Fed. Sts.",2017,3.187831119
Middle East & North Africa,2015,3.293595646
Middle East & North Africa,2016,3.326724642
Middle East & North Africa,2017,3.345351518
Middle East & North Africa (excluding high income),2015,2.848274363
Middle East & North Africa (excluding high income),2016,3.023732642
Middle East & North Africa (excluding high income),2017,3.274826149
Middle East & North Africa (IDA & IBRD countries),2015,2.848274363
Middle East & North Africa (IDA & IBRD countries),2016,3.023732642
Middle East & North Africa (IDA & IBRD countries),2017,3.274826149
Middle income,2015,2.827268254
Middle income,2016,2.775971185
Middle income,2017,2.817824551
Moldova,2015,3.897042945
Moldova,2016,3.676791489
Moldova,2017,3.549746051
Monaco,2015,1.640662365
Monaco,2016,1.392124128
Monaco,2017,1.412914786
Mongolia,2015,2.3892859
Mongolia,2016,2.624866739
Mongolia,2017,2.468951978
Montenegro,2015,..
Montenegro,2016,..
Montenegro,2017,..
Morocco,2015,2.10449677
Morocco,2016,2.226532809
Morocco,2017,2.25047078
Mozambique,2015,1.643276215
Mozambique,2016,1.516882051
Mozambique,2017,1.475620642
Myanmar,2015,1.142970752
Myanmar,2016,0.6694438867
Myanmar,2017,0.6898481399
Namibia,2015,4.098612815
Namibia,2016,4.155038297
Namibia,2017,3.94567363
Nauru,2015,7.216438651
Nauru,2016,9.502779692
Nauru,2017,7.927591354
Nepal,2015,1.034555957
Nepal,2016,1.166499499
Nepal,2017,1.240623463
Netherlands,2015,6.717748195
Netherlands,2016,6.67662397
Netherlands,2017,6.50473237
New Caledonia,2015,..
New Caledonia,2016,..
New Caledonia,2017,..
New Zealand,2015,6.96766451
New Zealand,2016,6.92768842
New Zealand,2017,6.919325143
Nicaragua,2015,4.448358715
Nicaragua,2016,5.266890302
Nicaragua,2017,5.021743849
Niger,2015,1.483856142
Niger,2016,1.49731813
Niger,2017,2.587169781
Nigeria,2015,0.5890784319
Nigeria,2016,0.4749693442
Nigeria,2017,0.5326576997
North America,2015,8.453092353
North America,2016,8.56667547
North America,2017,8.498113016
North Macedonia,2015,4.119301587
North Macedonia,2016,4.060733691
North Macedonia,2017,4.083035886
Northern Mariana Islands,2015,..
Northern Mariana Islands,2016,..
Northern Mariana Islands,2017,..
Norway,2015,8.644578606
Norway,2016,8.98148194
Norway,2017,8.928807825
Not classified,2015,..
Not classified,2016,..
Not classified,2017,..
OECD members,2015,7.670141268
OECD members,2016,7.75612875
OECD members,2017,7.70988059
Oman,2015,3.848817945
Oman,2016,3.845679015
Oman,2017,3.377282247
Other small states,2015,3.131875454
Other small states,2016,3.172584142
Other small states,2017,3.023035111
Pacific island small states,2015,2.972284286
Pacific island small states,2016,3.101817832
Pacific island small states,2017,3.040744777
Pakistan,2015,0.7400205359
Pakistan,2016,0.8204671554
Pakistan,2017,0.9155353531
Palau,2015,3.750532866
Palau,2016,6.192064658
Palau,2017,6.054996699
Panama,2015,4.251064733
Panama,2016,4.750008136
