Country Name,2015 Dgghe(% of GDP),2016 Dgghe(% of GDP),2017 Dgghe(% of GDP)
Afghanistan,0.522672804072499,0.556632503867149,0.600144406780601
Albania,4.43101301789284,4.38329391181469,4.27755378186703
Algeria,4.916987195611,4.46976982057095,4.20416407287121
American Samoa,..,..,..
Andorra,4.95471470057964,5.06037287414074,5.06037287414074
Angola,1.23424073681235,1.19753666222095,1.29186874255538
Antigua and Barbuda,2.60703060775995,2.13942620903254,2.13234610855579
Arab World,2.97197274806573,2.85375512707081,2.81388705184085
Argentina,6.82437419891357,5.59118650853634,6.60893470048904
Armenia,1.61020923405886,1.63734462112188,1.37250600382686
Aruba,..,..,..
Australia,6.35340884327888,6.3080333173275,6.34408071637154
Austria,7.51208737492561,7.52419158816338,7.52637535333633
Azerbaijan,1.30261825397611,1.16339745000005,1.00491279736161
"Bahamas, The",2.86635011434555,3.02390400320292,2.52639949321747
Bahrain,3.22806127369404,2.98121385276318,2.75286287069321
Bangladesh,0.43426426127553,0.379497767426074,0.379648082889616
Barbados,3.19321826100349,3.1439483165741,2.99643445760012
Belarus,3.68674211204052,4.19298782944679,4.14589382708073
Belgium,7.97455236315727,7.94390663504601,7.98325017094612
Belize,4.09517697989941,4.08821254968643,3.83578389883041
Benin,0.803807843476534,0.791850406676531,1.11499726772308
Bermuda,..,..,..
Bhutan,2.71618198603392,2.57930960506201,2.3748742416501
Bolivia,4.35008108615875,4.442098736763,4.41535040736198
Bosnia and Herzegovina,6.61862418055534,6.5543070435524,6.29525780677795
Botswana,3.88001911342144,3.69899645447731,4.64138947427273
Brazil,3.80636490881443,3.95496785640717,3.96492034196854
British Virgin Islands,..,..,..
Brunei Darussalam,2.26836539804935,2.4213869124651,2.25035604089499
Bulgaria,4.17152345180511,4.16140407323837,4.19922322034836
Burkina Faso,1.65293365716934,2.81112194061279,2.994354814291
Burundi,2.49962471425533,1.80344823747873,1.85788683593273
Cabo Verde,3.17350253462791,3.07942796498537,3.11193484812975
Cambodia,1.34465144947171,1.33381457999349,1.40879349783063
Cameroon,0.679561775177717,0.617781979963183,0.62201963737607
Canada,7.84178823232651,7.93503969907761,7.79410153627396
Caribbean small states,3.10957075863843,3.34717974139758,3.32314317366186
Cayman Islands,..,..,..
Central African Republic,0.521681224927306,0.629726052284241,0.746504962444305
Central Europe and the Baltics,4.73877702234597,4.79505430804733,4.77561212466617
Chad,0.961984321475029,0.831125304102898,0.709243677556515
Channel Islands,..,..,..
Chile,3.98668088018894,4.22677025198936,4.49699349701405
China,2.94208284467459,2.89454404264688,2.91935373097658
Colombia,5.10566867887974,4.95774485170841,4.89939339458942
Comoros,1.04989847168326,1.122444588691,0.941362418234348
"Congo, Dem. Rep.",0.653113145381212,0.490612583234906,0.395843433216214
"Congo, Rep.",1.55543079599738,1.57132372260094,1.19367139413953
Costa Rica,5.68770356476307,5.52383288741112,5.38734458386898
Cote d'Ivoire,1.08317341655493,1.15384599193931,1.26734245568514
Croatia,5.640484765172,5.64965158700943,5.62324300408363
Cuba,11.5749634802341,10.9496526420116,10.4748606681824
Curacao,..,..,..
Cyprus,2.86542885005474,2.85841692239046,2.83386185765266
