Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Afghanistan,AFG,..,..,0.46915733255446,0.479999789968133,0.342887057922781,0.443358113989234,0.472656544297934,0.522672804072499,0.556632503867149,0.600144406780601,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Albania,ALB,..,2.72346921265125,4.47085872292519,4.26704175770283,4.05976846814156,4.30875606834888,4.43231537938118,4.43101301789284,4.38329391181469,4.27755378186703,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Algeria,DZA,..,2.5108277797699,3.55552062392235,3.72015275061131,4.37613949179649,4.28831577301025,4.71456907689571,4.916987195611,4.46976982057095,4.20416407287121,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Andorra,AND,..,3.88585217297077,4.21197600662708,4.47595082223415,4.66728881001472,4.77317646145821,4.91001605987549,4.95471470057964,5.06037287414074,5.06037287414074,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Angola,AGO,..,1.11098745837808,1.6740957275033,1.71321798115969,1.56333558261395,1.69516745954752,1.31816007196903,1.23424073681235,1.19753666222095,1.29186874255538,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Antigua and Barbuda,ATG,..,2.5182094424963,2.95283459126949,2.78468951582909,2.81907897442579,3.02089024335146,2.90278065949678,2.60703060775995,2.13942620903254,2.13234610855579,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Argentina,ARG,..,4.6341136097908,5.56834600865841,5.6811835616827,6.13486394286156,6.22041895985603,6.32730200886726,6.82437419891357,5.59118650853634,6.60893470048904,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Armenia,ARM,..,0.95468033105135,1.68628972023726,1.67286489158869,1.57817024737597,1.37565741315484,1.50547875091434,1.61020923405886,1.63734462112188,1.37250600382686,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Australia,AUS,..,5.20626045763493,5.7866245508194,5.91189824044704,5.85916824638844,5.91656342148781,6.08782134950161,6.35340884327888,6.3080333173275,6.34408071637154,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Austria,AUT,..,6.82578682899475,7.39957913756371,7.28789791464806,7.43251070380211,7.4231281876564,7.51863867044449,7.51208737492561,7.52419158816338,7.52637535333633,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Azerbaijan,AZE,..,0.866892747581005,1.01077780127525,0.947909895330668,1.11365364864469,1.06307193636894,1.12798092886806,1.30261825397611,1.16339745000005,1.00491279736161,..,..
