Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Afghanistan,AFG,..,..,2.25547067821026,2.18811929225922,1.37000279501081,1.77506953477859,1.86067391186953,2.01440583914518,2.14110538363457,2.31911558657885,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Albania,ALB,..,8.04853886365891,15.2139782905579,14.7529259324074,14.3814742565155,14.7831737995148,13.9402821660042,14.5545765757561,15.0501191616058,14.6788969635963,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Algeria,DZA,..,8.78806784749031,9.54484269022942,9.27183106541634,10.0501224398613,11.8509143590927,11.6106487810612,10.7330903410912,10.7342608273029,10.7341229915619,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Andorra,AND,..,12.9924446344376,10.892366617918,11.5750178694725,12.4681405723095,13.4371444582939,14.9577811360359,15.2436852455139,14.0175551176071,14.0175551176071,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Angola,AGO,..,2.73858271539211,4.24956232309341,4.58056554198265,4.20150943100452,4.57540489733219,3.61567735671997,4.56262305378914,5.43270260095596,5.42836561799049,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Antigua and Barbuda,ATG,..,11.0005989670753,13.1274595856667,11.7162100970745,13.5010361671448,13.1312921643257,12.8829598426819,9.92510616779327,8.85086879134178,9.47863757610321,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Argentina,ARG,..,17.8198844194412,16.6930332779884,16.2779480218887,16.6615039110184,16.5428072214127,16.2856355309486,16.4975628256798,13.4863898158073,16.0513117909431,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Armenia,ARM,..,3.86989191174507,6.43608868122101,6.70102015137672,7.04075396060944,5.78088536858559,6.27527162432671,6.11529871821404,6.05352446436882,5.27346804738045,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
