Country Name,Year,Dgghe(%)
Afghanistan,2015,2.014405839
Afghanistan,2016,2.141105384
Afghanistan,2017,2.319115587
Albania,2015,14.55457658
Albania,2016,15.05011916
Albania,2017,14.67889696
Algeria,2015,10.73309034
Algeria,2016,10.73426083
Algeria,2017,10.73412299
American Samoa,2015,..
American Samoa,2016,..
American Samoa,2017,..
Andorra,2015,15.24368525
Andorra,2016,14.01755512
Andorra,2017,14.01755512
Angola,2015,4.562623054
Angola,2016,5.432702601
Angola,2017,5.428365618
Antigua and Barbuda,2015,9.925106168
Antigua and Barbuda,2016,8.850868791
Antigua and Barbuda,2017,9.478637576
Arab World,2015,..
Arab World,2016,..
Arab World,2017,..
Argentina,2015,16.49756283
Argentina,2016,13.48638982
Argentina,2017,16.05131179
Armenia,2015,6.115298718
Armenia,2016,6.053524464
Armenia,2017,5.273468047
Aruba,2015,..
Aruba,2016,..
Aruba,2017,..
Australia,2015,17.22873449
Australia,2016,17.48488843
Australia,2017,17.79732704
Austria,2015,14.69109952
Austria,2016,14.96718228
Austria,2017,15.3053984
Azerbaijan,2015,3.367708623
Azerbaijan,2016,3.288501501
Azerbaijan,2017,2.814341895
"Bahamas, The",2015,15.86854458
"Bahamas, The",2016,15.98214358
"Bahamas, The",2017,11.25084981
Bahrain,2015,8.828698099
Bahrain,2016,8.493938297
Bahrain,2017,8.493837714
Bangladesh,2015,3.379679471
Bangladesh,2016,3.020079806
Bangladesh,2017,2.994463034
Barbados,2015,9.084618837
Barbados,2016,9.293606877
Barbados,2017,9.0802975
Belarus,2015,8.826386929
Belarus,2016,10.30651331
Belarus,2017,10.61909571
Belgium,2015,14.84167576
Belgium,2016,14.96305615
Belgium,2017,15.31389654
Belize,2015,11.81301028
Belize,2016,11.79769337
Belize,2017,10.99099591
Benin,2015,3.225149214
Benin,2016,3.724785149
Benin,2017,4.575169459
Bermuda,2015,..
Bermuda,2016,..
Bermuda,2017,..
Bhutan,2015,9.953136742
Bhutan,2016,8.304095268
Bhutan,2017,7.900569588
Bolivia,2015,9.657795727
Bolivia,2016,11.09327003
Bolivia,2017,11.52297035
Bosnia and Herzegovina,2015,15.23594856
Bosnia and Herzegovina,2016,15.53459615
Bosnia and Herzegovina,2017,15.47477245
Botswana,2015,10.41588783
Botswana,2016,11.21129468
Botswana,2017,14.31547403
Brazil,2015,9.849166125
Brazil,2016,9.924077988
Brazil,2017,10.25529578
British Virgin Islands,2015,..
British Virgin Islands,2016,..
British Virgin Islands,2017,..
Brunei Darussalam,2015,5.864892527
Brunei Darussalam,2016,6.153300032
Brunei Darussalam,2017,6.153300032
Bulgaria,2015,10.30467004
Bulgaria,2016,11.85747832
Bulgaria,2017,11.98597699
Burkina Faso,2015,7.152626663
Burkina Faso,2016,11.03400141
Burkina Faso,2017,9.991507232
Burundi,2015,9.197464585
Burundi,2016,8.521398902
Burundi,2017,8.521398902
Cabo Verde,2015,10.09140387
Cabo Verde,2016,10.38917601
Cabo Verde,2017,9.855094552
Cambodia,2015,6.42111674
Cambodia,2016,6.003059819
Cambodia,2017,6.078748778
Cameroon,2015,3.251418844
Cameroon,2016,2.954733931
Cameroon,2017,3.137207404
Canada,2015,19.55002397
Canada,2016,19.52591091
Canada,2017,19.32792515
Caribbean small states,2015,10.1871089
Caribbean small states,2016,..
Caribbean small states,2017,..
Cayman Islands,2015,..
Cayman Islands,2016,..
Cayman Islands,2017,..
Central African Republic,2015,3.490509465
Central African Republic,2016,5.00911437
Central African Republic,2017,5.034865066
Central Europe and the Baltics,2015,11.24121297
Central Europe and the Baltics,2016,11.87896674
Central Europe and the Baltics,2017,11.96146856
Chad,2015,5.245210975
Chad,2016,5.725027621
Chad,2017,4.678363353
Channel Islands,2015,..
Channel Islands,2016,..
Channel Islands,2017,..
Chile,2015,16.02262855
Chile,2016,16.73219651
Chile,2017,17.73182154
China,2015,9.393274784
China,2016,9.064706415
China,2017,9.07209143
Colombia,2015,17.19218791
Colombia,2016,17.95146614
Colombia,2017,17.48571545
Comoros,2015,3.804180771
Comoros,2016,3.633891419
Comoros,2017,3.365019336
"Congo, Dem. Rep.",2015,3.842050955
"Congo, Dem. Rep.",2016,3.853575513
"Congo, Dem. Rep.",2017,3.32910046
"Congo, Rep.",2015,2.709809318
"Congo, Rep.",2016,2.885023132
"Congo, Rep.",2017,3.398465365
Costa Rica,2015,29.49174941
Costa Rica,2016,28.55218351
Costa Rica,2017,26.90707147
Cote d'Ivoire,2015,4.748418555
Cote d'Ivoire,2016,4.816297442
Cote d'Ivoire,2017,5.095548555
Croatia,2015,11.66704968
Croatia,2016,11.94438338
Croatia,2017,12.40758151
Cuba,2015,18.24558675
Cuba,2016,17.30540991
Cuba,2017,15.874964
Curacao,2015,..
Curacao,2016,..
Curacao,2017,..
Cyprus,2015,7.050246
Cyprus,2016,7.52126798
Cyprus,2017,7.581724226
Czech Republic,2015,14.28319812
Czech Republic,2016,14.82672393
Czech Republic,2017,15.17961919
Denmark,2015,15.78934044
Denmark,2016,16.26274735
Denmark,2017,16.60234183
Djibouti,2015,4.069509357
Djibouti,2016,4.069509357
Djibouti,2017,4.069509357
Dominica,2015,10.58219224
Dominica,2016,8.033229411
Dominica,2017,7.270408422
Dominican Republic,2015,13.95406127
Dominican Republic,2016,15.99962413
Dominican Republic,2017,15.59820473
Early-demographic dividend,2015,9.339784426
Early-demographic dividend,2016,9.22681004
Early-demographic dividend,2017,9.522460713
East Asia & Pacific,2015,..
East Asia & Pacific,2016,..
East Asia & Pacific,2017,..
East Asia & Pacific (excluding high income),2015,..
East Asia & Pacific (excluding high income),2016,..
East Asia & Pacific (excluding high income),2017,..
East Asia & Pacific (IDA & IBRD countries),2015,..
East Asia & Pacific (IDA & IBRD countries),2016,..
East Asia & Pacific (IDA & IBRD countries),2017,..
