Country Name,2015 GDP per capita,2016 GDP per capita,2017 GDP per capita,2018 GDP per capita
Afghanistan,35531.1966433738,37141.9587974246,37896.4606379696,37680.8181245105
Albania,497901.560834282,511970.591436114,539865.858441591,568978.734820554
Algeria,420675.329317277,431908.596802222,448807.923265389,479750.26492224
American Samoa,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505
Andorra,32496.9555575496,33650.5944603283,34727.8606771341,35607.6149910397
Angola,500290.497730611,573791.266508113,679560.900011631,867898.297948553
Antigua and Barbuda,38572.4515315392,41033.5671289684,41535.2210089493,45162.8481814594
Arab World,..,..,..,..
Argentina,138053.315160733,188760.95646864,241680.655621385,328260.564619871
Armenia,1723993.10489333,1725831.58330682,1889593.96008366,2034388.14462886
Aruba,46175.5206486424,45178.8847356778,45878.1770210504,..
Australia,68214.7019261635,68650.34039443,71686.7342550523,74017.7931911937
Austria,39833.5323259551,40896.5649146791,42090.7066795521,43597.8667208016
Azerbaijan,5635.62838125422,6192.49479289005,7137.97081864857,8026.00274744341
"Bahamas, The",31405.9635601781,31588.8349989813,31827.2426989661,32217.871590084
Bahrain,8531.05038375159,8504.78786862871,8917.02151299066,9043.08482202876
Bangladesh,97007.4507599298,109695.175388065,123743.211750958,139472.889514845
Barbados,33123.7470384545,33873.8120897423,34863.2058497797,35898.5630108742
Belarus,9474.54670452419,9993.01796951945,11133.4239604206,12816.3787957601
Belgium,36960.6311616367,37980.4141086617,39240.3252772401,40257.140825987
Belize,9551.83015444839,9636.80878767077,9775.11964095798,9769.48484266752
Benin,463674.570383829,467616.139598845,481642.42434411,500759.387858022
Bermuda,..,..,..,..
Bhutan,176588.639002481,196920.059160561,214027.003229887,221802.955028668
Bolivia,20978.568004909,21259.713339956,23156.2672040572,24520.7578659723
Bosnia and Herzegovina,8336.55366116311,8831.09926063125,9361.77360349476,10050.8196775563
Botswana,68875.9362404018,78966.6902938225,81674.2022685304,84231.5380772858
Brazil,29323.2998830269,30399.2628980115,31534.0527981703,32594.6805778963
British Virgin Islands,..,..,..,..
Brunei Darussalam,42848.156333829,37513.1014768938,39455.2774852582,42663.4527067666
Bulgaria,12339.8315768298,13205.9975684017,14279.7140792603,15364.7467560793
Burkina Faso,340269.446265352,345602.477408749,373954.939957122,397406.526966132
Burundi,480293.168425684,466924.288124388,506609.018323041,484501.284878239
Cabo Verde,302432.074939542,312121.669559782,322043.474103111,339596.441306663
Cambodia,4730406.48821411,5152883.18051681,5611106.36830305,6125877.67505787
Cameroon,784835.315503644,808509.663683494,827498.40277505,852327.807674079
Canada,55620.8754760256,56046.8776529559,58497.87418089,59908.4515628156
Caribbean small states,..,..,..,..
Cayman Islands,63564.5291944786,65244.1400693634,67601.0570824524,..
Central African Republic,223136.894442009,238340.811078419,261818.248278731,264366.766765737
Central Europe and the Baltics,..,..,..,..
Chad,458791.826929039,410941.989742108,386687.37284635,404753.300398747
Channel Islands,..,..,..,..
Chile,8879192.718276,9306874.29948628,9756741.01315091,10211280.7445214
China,50027.9240384475,53679.5233069672,59200.6102157033,64643.5059200276
Colombia,16933516.5266094,17931431.1697698,18817462.9976369,19708015.6418221
Comoros,550981.18915804,565816.398354936,576510.151223995,589865.460723134
"Congo, Dem. Rep.",460508.045951459,476174.744158544,683991.873972435,911496.68019225
"Congo, Rep.",1041733.9446613,1075754.48218319,991057.588566111,1192656.38171881
Costa Rica,6040131.43047863,6355178.19296253,6669722.33842981,6939459.36171664
Cote d'Ivoire,843677.790152244,878631.922458541,906427.707386555,953351.297720405
Croatia,80810.6805493572,84125.3809875504,88840.6706120041,93617.9635154301
Cuba,7694.0119195241,8060.79588647979,8541.2106734664,8821.81889125004
Curacao,35712.8769464489,35004.1048702275,34828.9814265647,35026.5274588389
Cyprus,21030.6772494762,22162.6777177442,23315.0122335865,24294.4367566673
Czech Republic,435782.030045536,451243.629293496,476407.243121343,501495.478648691
Denmark,358293.709508764,367982.635854337,377296.330603055,387404.059477225
Djibouti,475508.587155482,500881.934793652,520844.567666246,547829.559504443
Dominica,20510.374668109,21818.615283212,19641.7475999888,20766.6317626527
Dominican Republic,311783.204315579,335389.373703769,361705.354232011,398586.713102557
Early-demographic dividend,..,..,..,..
East Asia & Pacific,..,..,..,..
East Asia & Pacific (excluding high income),..,..,..,..
East Asia & Pacific (IDA & IBRD countries),..,..,..,..
Ecuador,6124.49164262072,6060.09332904415,6213.50127649921,6344.87197850057
"Egypt, Arab Rep.",26436.9608942082,28686.9666007221,35979.9533801419,45084.7177447644
El Salvador,3705.54000206162,3800.10330164063,3902.24231785179,4058.25243928118
Equatorial Guinea,6670916.88288572,5481798.51725548,5668454.30423589,5702813.04303982
Eritrea,..,..,..,..
Estonia,15799.0758753755,16487.1560811376,18047.7554000959,19710.9314671084
Eswatini,47074.200196052,50715.6037193981,52709.6977069632,54896.4286154353
Ethiopia,12872.0736310832,15135.5599459906,17223.2479947561,20163.7161107696
Euro area,..,..,..,..
Europe & Central Asia,..,..,..,..
Europe & Central Asia (excluding high income),..,..,..,..
Europe & Central Asia (IDA & IBRD countries),..,..,..,..
European Union,..,..,..,..
