Country Name,Year,Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)",Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Dentists (headcount) (OECD),"Dentists (per 100,000 population) (OECD)",For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospital beds (number) (OECD),Hospital beds (number) (OECD),"Hospital beds (per 1,000 population) (OECD)","Hospital beds (per 1,000 population) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)",Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population aged 65+) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),Nurses (headcount) (OECD),"Nurses (per 1,000 population) (OECD)",Physicians (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),"Psychiatrists (per 1,000 population) (OECD)",Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),Surgical specialists (headcount) (OECD),"Surgical specialists (per 1,000 population) (OECD)"
Australia,2015,,,16800,71,13122,55,60957,256,16123,68,523,2196,937,3934,90879,90879,382,382,203,1331,5589,,,,,,32651,10692,107,449,356417,1497,102805,432,9812,41,3903,16,701,2943,14938,63
Australia,2016,,,17477,72,13552,56,61797,255,16549,68,543,2245,938,3877,92826,92826,384,384,202,1352,5589,,,,,,32252,10367,114,471,365899,1513,106634,441,10186,42,4103,17,695,2873,15632,65
Australia,2017,,,,,,,,,16987,69,,,,,,,,,,,,,,,,,32025,,,,375145,1525,110376,449,,,4207,17,,,16066,65
Austria,2015,48860,565,8818,102,11223,13,45097,522,,,83,96,119,1377,65138,65138,754,754,78,278,3217,5876,371,371,5876,68,2265,2684,42,486,,,,,5294,61,1524,18,153,177,8923,103
Austria,2016,48472,555,8743,1,11185,128,44910,514,,,84,961,118,1351,64838,64838,742,742,79,273,3125,5877,366,366,5877,67,2357,2688,41,469,,,,,5291,61,1661,19,148,1694,8872,102
Austria,2017,47920,545,8873,101,10697,122,45235,514,,,85,966,116,1319,64805,64805,737,737,79,271,308,5832,359,359,5832,66,2417,2758,39,443,,,,,5338,61,1678,19,147,1671,9075,103
Austria,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,,,,,,,,,,,,,,,
Belgium,2015,58531,519,,,48553,431,17200,153,10726,95,,,116,1029,65753,65753,583,583,97,179,1588,1159,57,57,1159,1,11160,9127,139,1233,191805,1701,60138,533,15818,14,1930,17,40,355,6523,58
Belgium,2016,58025,512,,,48354,427,16960,15,11066,98,,,115,1015,65314,65314,576,576,99,177,1562,1159,56,56,1159,1,11808,9687,137,1209,198030,1748,61899,546,15691,138,1958,17,40,353,6719,59
Belgium,2017,56927,5,,,47779,42,16644,146,11440,101,,,115,1011,64423,64423,566,566,,175,1538,1165,56,56,1165,1,12417,10374,135,1187,204256,1796,63615,559,15479,136,1965,17,40,352,6783,6
Belgium,2018,56758,498,,,47612,418,16636,146,12027,106,,,114,10,64248,64248,564,564,,174,1527,1165,55,55,1165,1,12953,,134,1176,210507,1847,66561,584,15452,136,,,40,351,,
Canada,2015,72447,202,629,2,,,92966,259,23385,65,7,2,586,1635,93595,93595,261,261,,719,2007,16211,28,28,16211,45,1526,399,,,415849,1161,101226,282,12505,35,6133,17,712,1987,14942,42
