Country Name,Year,Income classifications (World Bank (2017))
Afghanistan,2015,Low income
Afghanistan,2016,Low income
Albania,2015,Upper-middle income
Albania,2016,Upper-middle income
Algeria,2015,Upper-middle income
Algeria,2016,Upper-middle income
American Samoa,2015,Upper-middle income
American Samoa,2016,Upper-middle income
Andorra,2015,High income
Andorra,2016,High income
Angola,2015,Upper-middle income
Angola,2016,Lower-middle income
Antigua and Barbuda,2015,High income
Antigua and Barbuda,2016,High income
Argentina,2015,Upper-middle income
Argentina,2016,Upper-middle income
Armenia,2015,Lower-middle income
Armenia,2016,Lower-middle income
Aruba,2015,High income
Aruba,2016,High income
Australia,2015,High income
Australia,2016,High income
Austria,2015,High income
Austria,2016,High income
Azerbaijan,2015,Upper-middle income
Azerbaijan,2016,Upper-middle income
Bahamas,2015,High income
Bahamas,2016,High income
Bahrain,2015,High income
Bahrain,2016,High income
Bangladesh,2015,Lower-middle income
Bangladesh,2016,Lower-middle income
Barbados,2015,High income
Barbados,2016,High income
Belarus,2015,Upper-middle income
Belarus,2016,Upper-middle income
Belgium,2015,High income
Belgium,2016,High income
Belize,2015,Upper-middle income
Belize,2016,Upper-middle income
Benin,2015,Low income
Benin,2016,Low income
Bermuda,2015,High income
Bermuda,2016,High income
Bhutan,2015,Lower-middle income
Bhutan,2016,Lower-middle income
Bolivia,2015,Lower-middle income
Bolivia,2016,Lower-middle income
Bosnia and Herzegovina,2015,Upper-middle income
Bosnia and Herzegovina,2016,Upper-middle income
Botswana,2015,Upper-middle income
Botswana,2016,Upper-middle income
Brazil,2015,Upper-middle income
Brazil,2016,Upper-middle income
British Virgin Islands,2015,High income
British Virgin Islands,2016,High income
Brunei,2015,High income
Brunei,2016,High income
Bulgaria,2015,Upper-middle income
Bulgaria,2016,Upper-middle income
Burkina Faso,2015,Low income
Burkina Faso,2016,Low income
Burundi,2015,Low income
Burundi,2016,Low income
Cambodia,2015,Lower-middle income
Cambodia,2016,Lower-middle income
Cameroon,2015,Lower-middle income
Cameroon,2016,Lower-middle income
Canada,2015,High income
Canada,2016,High income
Cape Verde,2015,Lower-middle income
Cape Verde,2016,Lower-middle income
Cayman Islands,2015,High income
