Country Name,Year,"Number of deaths due to tuberculosis, excluding HIV"
Afghanistan,2018,11000 [6400-16000]
Albania,2018,8 [4-14]
Algeria,2018,3200 [2100-4600]
Andorra,2018,0 [0-0]
Angola,2018,19000 [11000-28000]
Antigua and Barbuda,2018,1 [1-1]
Argentina,2018,640 [620-660]
Armenia,2018,18 [18-19]
Australia,2018,50 [50-51]
Austria,2018,35 [34-36]
Azerbaijan,2018,1000 [960-1100]
Bahamas,2018,1 [1-1]
Bahrain,2018,8 [7-9]
Bangladesh,2018,47000 [30000-67000]
Barbados,2018,3 [2-3]
Belarus,2018,510 [480-550]
Belgium,2018,33 [32-35]
Belize,2018,9 [8-9]
Benin,2018,1000 [600-1500]
Bhutan,2018,120 [79-180]
Bolivia (Plurinational State of),2018,1200 [880-1600]
Bosnia and Herzegovina,2018,100 [94-110]
Botswana,2018,560 [370-780]
Brazil,2018,4800 [4600-5000]
Brunei Darussalam,2018,16 [15-16]
Bulgaria,2018,71 [69-72]
Burkina Faso,2018,1500 [910-2300]
Burundi,2018,2200 [1300-3300]
Cabo Verde,2018,22 [20-24]
Cambodia,2018,3000 [1900-4300]
Cameroon,2018,7700 [4600-12000]
Canada,2018,120 [120-120]
Central African Republic,2018,4800 [2800-7300]
Chad,2018,3500 [2100-5300]
Chile,2018,410 [390-430]
China,2018,37000 [34000-41000]
Colombia,2018,1300 [1100-1500]
Comoros,2018,73 [43-110]
Congo,2018,3000 [1700-4600]
Cook Islands,2018,0 [0-0]
Costa Rica,2018,39 [35-44]
Côte d’Ivoire,2018,5600 [3300-8400]
Croatia,2018,34 [34-35]
Cuba,2018,42 [42-42]
Cyprus,2018,3 [2-4]
Czechia,2018,37 [36-37]
Democratic People's Republic of Korea,2018,20000 [14000-27000]
Democratic Republic of the Congo,2018,43000 [25000-65000]
Denmark,2018,18 [17-18]
Djibouti,2018,260 [170-380]
Dominica,2018,3 [3-3]
Dominican Republic,2018,250 [110-460]
Ecuador,2018,460 [360-560]
Egypt,2018,420 [380-470]
El Salvador,2018,78 [62-97]
Equatorial Guinea,2018,380 [270-510]
Eritrea,2018,550 [250-980]
Estonia,2018,10 [10-11]
Eswatini,2018,140 [89-200]
Ethiopia,2018,24000 [15000-36000]
Fiji,2018,38 [37-38]
Finland,2018,19 [19-19]
France,2018,310 [290-330]
Gabon,2018,1600 [790-2600]
Gambia,2018,600 [400-840]
Georgia,2018,160 [150-180]
Germany,2018,300 [290-310]
Ghana,2018,11000 [4800-19000]
Greece,2018,48 [46-51]
Grenada,2018,2 [2-2]
Guatemala,2018,310 [280-330]
Guinea,2018,2800 [1700-4200]
Guinea-Bissau,2018,1400 [790-2100]
Guyana,2018,120 [110-120]
Haiti,2018,1000 [690-1400]
Honduras,2018,430 [350-510]
Hungary,2018,43 [43-43]
Iceland,2018,1 [1-1]
India,2018,440000 [408000-472000]
Indonesia,2018,93000 [87000-99000]
Iran (Islamic Republic of),2018,870 [810-930]
Iraq,2018,860 [780-940]
Ireland,2018,19 [19-19]
Israel,2018,16 [15-16]
Italy,2018,340 [340-340]
Jamaica,2018,8 [7-8]
Japan,2018,2800 [2600-2900]
Jordan,2018,12 [7-17]
Kazakhstan,2018,430 [350-510]
Kenya,2018,19000 [11000-30000]
Kiribati,2018,43 [36-50]
Kuwait,2018,15 [10-20]
Kyrgyzstan,2018,390 [360-420]
Lao People's Democratic Republic,2018,2100 [1300-3200]
Latvia,2018,51 [51-52]
Lebanon,2018,61 [38-91]
Lesotho,2018,950 [560-1400]
Liberia,2018,2700 [1600-4100]
Libya,2018,420 [240-630]
Lithuania,2018,150 [150-150]
Luxembourg,2018,1 [1-1]
Madagascar,2018,13000 [7500-19000]
Malawi,2018,4100 [2300-6300]
Malaysia,2018,1200 [1100-1400]
Maldives,2018,1 [0-2]
Mali,2018,1500 [880-2200]
Malta,2018,2 [2-2]
Marshall Islands,2018,28 [18-40]
Mauritania,2018,780 [460-1200]
Mauritius,2018,20 [20-20]
Mexico,2018,1900 [1900-1900]
Micronesia (Federated States of),2018,13 [9-19]
Monaco,2018,0 [0-0]
Mongolia,2018,330 [290-370]
Montenegro,2018,1 [1-1]
Morocco,2018,2900 [1800-4300]
Mozambique,2018,21000 [13000-32000]
Myanmar,2018,21000 [12000-31000]
Namibia,2018,1600 [1000-2300]
Nauru,2018,0 [0-1]
Nepal,2018,5400 [3800-7300]
Netherlands,2018,30 [30-31]
New Zealand,2018,13 [13-13]
Nicaragua,2018,140 [110-160]
Niger,2018,4000 [2300-6000]
Nigeria,2018,125000 [73000-192000]
Niue,2018,0 [0-0]
Norway,2018,18 [18-19]
Oman,2018,18 [13-23]
Pakistan,2018,43000 [35000-52000]
Palau,2018,2 [1-2]
Panama,2018,220 [210-240]
Papua New Guinea,2018,4500 [3000-6200]
Paraguay,2018,280 [240-320]
Peru,2018,2100 [1300-3200]
Philippines,2018,26000 [22000-30000]
Poland,2018,470 [440-500]
Portugal,2018,190 [180-190]
Qatar,2018,8 [6-10]
Republic of Korea,2018,2400 [2300-2500]
Republic of Moldova,2018,210 [180-230]
Romania,2018,860 [860-870]
Russian Federation,2018,9200 [8300-10000]
Rwanda,2018,640 [410-910]
Saint Kitts and Nevis,2018,1 [1-1]
Saint Lucia,2018,4 [4-4]
Saint Vincent and the Grenadines,2018,2 [2-2]
Samoa,2018,1 [1-2]
San Marino,2018,0 [0-0]
Sao Tome and Principe,2018,45 [18-84]
Saudi Arabia,2018,780 [580-1000]
Senegal,2018,2600 [1700-3800]
Serbia,2018,55 [50-61]
Seychelles,2018,0 [0-0]
Sierra Leone,2018,2600 [1500-3900]
Singapore,2018,51 [37-67]
Slovakia,2018,35 [35-35]
Slovenia,2018,12 [12-12]
Solomon Islands,2018,53 [34-76]
Somalia,2018,10000 [5900-15000]
South Africa,2018,21000 [20000-23000]
South Sudan,2018,930 [460-1600]
Spain,2018,260 [260-270]
Sri Lanka,2018,810 [660-980]
Sudan,2018,4600 [2900-6800]
Suriname,2018,16 [13-19]
Sweden,2018,26 [26-27]
Switzerland,2018,27 [25-28]
Syrian Arab Republic,2018,43 [35-51]
Tajikistan,2018,740 [670-820]
Thailand,2018,9200 [6900-12000]
The former Yugoslav Republic of Macedonia,2018,20 [20-21]
Timor-Leste,2018,1200 [710-1800]
Togo,2018,210 [130-310]
Tonga,2018,1 [0-1]
Trinidad and Tobago,2018,22 [19-25]
Tunisia,2018,140 [100-180]
Turkey,2018,400 [370-440]
Turkmenistan,2018,610 [540-700]
Tuvalu,2018,3 [2-4]
Uganda,2018,8600 [4800-14000]
Ukraine,2018,3700 [3200-4100]
United Arab Emirates,2018,65 [37-99]
United Kingdom of Great Britain and Northern Ireland,2018,300 [300-310]
United Republic of Tanzania,2018,22000 [10000-40000]
United States of America,2018,580 [570-590]
Uruguay,2018,73 [70-76]
Uzbekistan,2018,1700 [1600-1800]
Vanuatu,2018,22 [14-31]
Venezuela (Bolivarian Republic of),2018,730 [690-780]
Viet Nam,2018,11000 [6700-15000]
Yemen,2018,2000 [1400-2600]
Zambia,2018,4800 [2900-7300]
Zimbabwe,2018,1100 [690-1700]
