Country Name,"2018 Number of deaths due to tuberculosis, excluding HIV"
Afghanistan,11000 [6400-16000]
Albania,8 [4-14]
Algeria,3200 [2100-4600]
Andorra,0 [0-0]
Angola,19000 [11000-28000]
Antigua and Barbuda,1 [1-1]
Argentina,640 [620-660]
Armenia,18 [18-19]
Australia,50 [50-51]
Austria,35 [34-36]
Azerbaijan,1000 [960-1100]
Bahamas,1 [1-1]
Bahrain,8 [7-9]
Bangladesh,47000 [30000-67000]
Barbados,3 [2-3]
Belarus,510 [480-550]
Belgium,33 [32-35]
Belize,9 [8-9]
Benin,1000 [600-1500]
Bhutan,120 [79-180]
Bolivia (Plurinational State of),1200 [880-1600]
Bosnia and Herzegovina,100 [94-110]
Botswana,560 [370-780]
Brazil,4800 [4600-5000]
Brunei Darussalam,16 [15-16]
Bulgaria,71 [69-72]
Burkina Faso,1500 [910-2300]
Burundi,2200 [1300-3300]
Cabo Verde,22 [20-24]
Cambodia,3000 [1900-4300]
Cameroon,7700 [4600-12000]
Canada,120 [120-120]
Central African Republic,4800 [2800-7300]
Chad,3500 [2100-5300]
Chile,410 [390-430]
China,37000 [34000-41000]
Colombia,1300 [1100-1500]
Comoros,73 [43-110]
Congo,3000 [1700-4600]
Cook Islands,0 [0-0]
Costa Rica,39 [35-44]
Côte d’Ivoire,5600 [3300-8400]
Croatia,34 [34-35]
Cuba,42 [42-42]
Cyprus,3 [2-4]
Czechia,37 [36-37]
Democratic People's Republic of Korea,20000 [14000-27000]
Democratic Republic of the Congo,43000 [25000-65000]
Denmark,18 [17-18]
Djibouti,260 [170-380]
Dominica,3 [3-3]
Dominican Republic,250 [110-460]
Ecuador,460 [360-560]
Egypt,420 [380-470]
El Salvador,78 [62-97]
Equatorial Guinea,380 [270-510]
Eritrea,550 [250-980]
Estonia,10 [10-11]
Eswatini,140 [89-200]
Ethiopia,24000 [15000-36000]
Fiji,38 [37-38]
Finland,19 [19-19]
France,310 [290-330]
Gabon,1600 [790-2600]
Gambia,600 [400-840]
Georgia,160 [150-180]
Germany,300 [290-310]
Ghana,11000 [4800-19000]
Greece,48 [46-51]
Grenada,2 [2-2]
Guatemala,310 [280-330]
Guinea,2800 [1700-4200]
Guinea-Bissau,1400 [790-2100]
Guyana,120 [110-120]
Haiti,1000 [690-1400]
Honduras,430 [350-510]
Hungary,43 [43-43]
Iceland,1 [1-1]
India,440000 [408000-472000]
Indonesia,93000 [87000-99000]
Iran (Islamic Republic of),870 [810-930]
Iraq,860 [780-940]
Ireland,19 [19-19]
Israel,16 [15-16]
Italy,340 [340-340]
Jamaica,8 [7-8]
Japan,2800 [2600-2900]
Jordan,12 [7-17]
Kazakhstan,430 [350-510]
Kenya,19000 [11000-30000]
Kiribati,43 [36-50]
Kuwait,15 [10-20]
Kyrgyzstan,390 [360-420]
Lao People's Democratic Republic,2100 [1300-3200]
Latvia,51 [51-52]
Lebanon,61 [38-91]
Lesotho,950 [560-1400]
Liberia,2700 [1600-4100]
Libya,420 [240-630]
Lithuania,150 [150-150]
Luxembourg,1 [1-1]
Madagascar,13000 [7500-19000]
Malawi,4100 [2300-6300]
Malaysia,1200 [1100-1400]
Maldives,1 [0-2]
Mali,1500 [880-2200]
Malta,2 [2-2]
Marshall Islands,28 [18-40]
Mauritania,780 [460-1200]
Mauritius,20 [20-20]
Mexico,1900 [1900-1900]
Micronesia (Federated States of),13 [9-19]
Monaco,0 [0-0]
Mongolia,330 [290-370]
Montenegro,1 [1-1]
Morocco,2900 [1800-4300]
Mozambique,21000 [13000-32000]
Myanmar,21000 [12000-31000]
Namibia,1600 [1000-2300]
Nauru,0 [0-1]
Nepal,5400 [3800-7300]
Netherlands,30 [30-31]
