Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita (current LCU),NY.GDP.PCAP.CN,Afghanistan,AFG,..,..,24883.279317368,28234.406301763,33015.0446533555,35290.4956831028,35254.4649012547,35531.1966433738,37141.9587974246,37896.4606379696,37680.8181245105,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Albania,ALB,4937.84348412404,162251.411204888,425553.25897067,447689.081111595,459526.451687198,466324.61075503,482954.102725274,497901.560834282,511970.591436114,539865.858441591,568978.734820554,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Algeria,DZA,21577.0344031797,132825.487597784,333303.175558138,397930.316110844,433606.59633922,436492.98329644,442622.509013599,420675.329317277,431908.596802222,448807.923265389,479750.26492224,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,American Samoa,ASM,..,..,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Andorra,AND,11564.9727567925,23809.9097721364,30000.9473173158,29567.8651175564,29881.22823832,30600.0693292396,31881.7618320225,32496.9555575496,33650.5944603283,34727.8606771341,35607.6149910397,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Angola,AGO,2.83553091279943E-05,5590.9396453521,329746.97199627,433553.066124,486895.946607468,507192.309963415,531659.731898179,500290.497730611,573791.266508113,679560.900011631,867898.297948553,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Antigua and Barbuda,ATG,19840.1749456244,29486.2752578405,35232.9940473486,34414.7535657065,35835.5915893329,34856.3092792517,36454.2684903092,38572.4515315392,41033.5671289684,41535.2210089493,45162.8481814594,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Argentina,ARG,2112.96289843501,7708.10099605414,40739.9840807887,52810.1167359686,63208.8926890011,79338.285078988,107315.211694536,138053.315160733,188760.95646864,241680.655621385,328260.564619871,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Armenia,ARM,14.2192109991292,335985.575928519,1202578.75473661,1313365.44137432,1479237.7789697,1572219.54566287,1657952.6597109,1723993.10489333,1725831.58330682,1889593.96008366,2034388.14462886,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Aruba,ABW,22030.0880107183,36911.0541203923,42087.558646195,44724.9279736589,44237.51950078,44794.9282176058,45705.0899069131,46175.5206486424,45178.8847356778,45878.1770210504,..,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Australia,AUS,23665.5513299072,34519.8663394768,59060.7191893517,63411.8387697345,65958.1810339955,66425.9093331761,68093.0048220955,68214.7019261635,68650.34039443,71686.7342550523,74017.7931911937,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Austria,AUT,17915.0017778415,26662.2630332197,35379.9290336805,36956.8462338067,37799.9264767898,38197.754835213,38981.0663164511,39833.5323259551,40896.5649146791,42090.7066795521,43597.8667208016,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,Azerbaijan,AZE,0.0409554407040089,586.201326938846,4690.02020248429,5677.69916370528,5889.08907521947,6178.53132926989,6189.15690158414,5635.62838125422,6192.49479289005,7137.97081864857,8026.00274744341,..
