Country Name,Year,2015 People using at least basic sanitation services
Afghanistan,2015,40.70770701
Afghanistan,2016,42.05418277
Afghanistan,2017,43.41761001
Albania,2015,97.69103397
Albania,2016,97.70487655
Albania,2017,97.71836838
Algeria,2015,87.49671674
Algeria,2016,87.54231646
Algeria,2017,87.58657093
American Samoa,2015,56.76053271
American Samoa,2016,55.60755445
American Samoa,2017,54.45476038
Andorra,2015,100.0000024
Andorra,2016,100
Andorra,2017,99.99999628
Angola,2015,47.37447934
Angola,2016,48.62794479
Angola,2017,49.87697876
Antigua and Barbuda,2015,87.50428238
Antigua and Barbuda,2016,87.50428238
Antigua and Barbuda,2017,87.50428238
Arab World,2015,82.35000122
Arab World,2016,82.84176543
Arab World,2017,83.112235
Argentina,2015,94.23485077
Argentina,2016,94.25850542
Argentina,2017,..
Armenia,2015,93.06060679
Armenia,2016,93.40697156
Armenia,2017,93.64230727
Aruba,2015,97.54348112
Aruba,2016,97.54348112
Aruba,2017,..
Australia,2015,99.99115238
Australia,2016,99.99115238
Australia,2017,99.99115238
Austria,2015,99.97670878
Austria,2016,99.97481352
Austria,2017,99.97290961
Azerbaijan,2015,92.45606505
Azerbaijan,2016,92.48309488
Azerbaijan,2017,92.51144535
"Bahamas, The",2015,94.93058233
"Bahamas, The",2016,94.93058233
"Bahamas, The",2017,94.93058233
Bahrain,2015,100
Bahrain,2016,100
Bahrain,2017,100
Bangladesh,2015,45.74216109
Bangladesh,2016,47.00580284
Bangladesh,2017,48.23324272
Barbados,2015,96.35542276
Barbados,2016,96.85555159
Barbados,2017,97.2793785
Belarus,2015,97.76497652
Belarus,2016,97.77775129
Belarus,2017,97.79095198
Belgium,2015,99.48606169
Belgium,2016,99.48605762
Belgium,2017,99.4860602
Belize,2015,87.21298398
Belize,2016,87.53477602
Belize,2017,87.85852355
Benin,2015,16.01174081
Benin,2016,16.35113779
Benin,2017,16.45292057
Bermuda,2015,99.90314002
Bermuda,2016,99.90314002
Bermuda,2017,99.90314002
Bhutan,2015,67.28510633
Bhutan,2016,68.28248382
Bhutan,2017,69.25393545
Bolivia,2015,56.90997987
Bolivia,2016,58.80000805
Bolivia,2017,60.71693757
Bosnia and Herzegovina,2015,95.312937
Bosnia and Herzegovina,2016,95.33614877
Bosnia and Herzegovina,2017,95.36023531
Botswana,2015,74.76206577
Botswana,2016,76.01730993
Botswana,2017,77.26922478
Brazil,2015,86.55409175
Brazil,2016,87.42636006
Brazil,2017,88.29384941
British Virgin Islands,2015,96.85797948
British Virgin Islands,2016,96.85797948
British Virgin Islands,2017,..
Brunei Darussalam,2015,96.34904195
Brunei Darussalam,2016,..
Brunei Darussalam,2017,..
Bulgaria,2015,85.98294162
Bulgaria,2016,85.99330573
Bulgaria,2017,86.00369811
Burkina Faso,2015,18.82599308
Burkina Faso,2016,19.12627904
Burkina Faso,2017,19.40208709
Burundi,2015,45.87571014
Burundi,2016,45.85101926
Burundi,2017,45.82120487
Cabo Verde,2015,70.47414843
Cabo Verde,2016,72.24600082
Cabo Verde,2017,73.85378676
Cambodia,2015,53.38575143
Cambodia,2016,56.60150096
Cambodia,2017,59.22696598
Cameroon,2015,38.85571305
Cameroon,2016,38.84740465
Cameroon,2017,39.07555016
Canada,2015,99.36312098
Canada,2016,99.32453042
Canada,2017,99.28601285
Caribbean small states,2015,88.59483667
Caribbean small states,2016,88.9593256
Caribbean small states,2017,89.01129855
Cayman Islands,2015,83.654025
Cayman Islands,2016,83.654025
Cayman Islands,2017,..
Central African Republic,2015,25.18311162
Central African Republic,2016,25.31967074
Central African Republic,2017,..
Central Europe and the Baltics,2015,93.93557741
Central Europe and the Baltics,2016,94.37333284
