Country Name,2015 People using at least basic sanitation services,2016 People using at least basic sanitation services,2017 People using at least basic sanitation services
Afghanistan,40.7077070107199,42.0541827707493,43.4176100145511
Albania,97.6910339666252,97.7048765530935,97.7183683821447
Algeria,87.4967167440158,87.5423164577779,87.5865709329942
American Samoa,56.7605327109848,55.6075544525389,54.4547603777711
Andorra,100.00000244488,100,99.9999962826959
Angola,47.3744793353905,48.6279447858576,49.8769787577501
Antigua and Barbuda,87.5042823844152,87.5042823844152,87.5042823844152
Arab World,82.3500012220259,82.8417654257603,83.1122349963876
Argentina,94.2348507736493,94.2585054176821,..
Armenia,93.0606067851468,93.4069715588385,93.6423072695355
Aruba,97.5434811165022,97.5434811165022,..
Australia,99.9911523822512,99.9911523822512,99.9911523822512
Austria,99.9767087846052,99.9748135182502,99.9729096123263
Azerbaijan,92.4560650540911,92.4830948823569,92.5114453471259
"Bahamas, The",94.9305823307593,94.9305823307593,94.9305823307593
Bahrain,100,100,100
Bangladesh,45.7421610879166,47.0058028392138,48.2332427177019
Barbados,96.3554227570998,96.855551592924,97.2793784985907
Belarus,97.7649765159934,97.7777512941361,97.7909519750284
Belgium,99.4860616896739,99.4860576241743,99.486060200783
Belize,87.2129839781893,87.5347760228182,87.8585235497944
Benin,16.0117408146427,16.3511377872339,16.4529205701784
Bermuda,99.9031400170636,99.9031400170636,99.9031400170636
Bhutan,67.2851063276581,68.2824838214476,69.2539354517128
Bolivia,56.9099798669174,58.8000080540831,60.7169375713243
Bosnia and Herzegovina,95.3129369967902,95.3361487686584,95.3602353087281
Botswana,74.7620657737556,76.0173099341028,77.2692247843667
Brazil,86.5540917460118,87.426360059913,88.2938494055597
British Virgin Islands,96.8579794836767,96.8579794836767,..
Brunei Darussalam,96.3490419463857,..,..
Bulgaria,85.9829416171269,85.9933057341552,86.0036981124037
Burkina Faso,18.8259930750013,19.1262790401477,19.4020870942332
Burundi,45.8757101376602,45.8510192551699,45.8212048667364
Cabo Verde,70.4741484338521,72.2460008187226,73.8537867599119
Cambodia,53.3857514274896,56.6015009560733,59.2269659797755
Cameroon,38.855713046176,38.8474046534115,39.075550156475
Canada,99.3631209778315,99.324530417856,99.2860128514909
Caribbean small states,88.594836667451,88.9593256025907,89.0112985505125
Cayman Islands,83.654025,83.654025,..
Central African Republic,25.183111618783,25.3196707449267,..
Central Europe and the Baltics,93.935577407569,94.373332836346,94.7107741644413
Chad,8.84037712620922,8.58336858844236,8.34248327844754
Channel Islands,98.5,98.5,98.5
Chile,99.6310285416858,100,100.000001352226
China,81.6754050978285,83.2351730239196,84.7607877105451
Colombia,87.5458273898057,88.5869940204514,89.6253577567162
Comoros,35.8152676781796,35.8348916024195,35.8566241162328
"Congo, Dem. Rep.",20.4412177633718,20.4260982701292,20.4559768639167
"Congo, Rep.",18.9369279554828,19.5480531724779,20.1728789244707
Costa Rica,97.2714376265425,97.5489766928287,97.8183602521861
Cote d'Ivoire,30.5726951958805,31.3486226163171,32.134907136788
Croatia,96.4871997942399,96.5125725101914,96.5384458414853
Cuba,92.4349645752294,92.811458855482,92.8102417631483
Curacao,98.9502751182192,98.9502751182192,98.9502751182192
Cyprus,99.2560451299793,99.2041337188527,99.1523114561557
Czech Republic,99.1353786321235,99.1347835792682,99.1340992258206
Denmark,99.5972276070737,99.5972292785247,99.5972288164915
Djibouti,61.0912273602414,62.3472119631012,63.6053572453779
Dominica,77.8927614955628,..,..
