Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Afghanistan,AFG,..,..,37.55213,37.6852,37.82138,37.96068,37.5168703434373,37.5915295300905,37.6665345570879,37.7460320188898,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Algeria,DZA,..,..,83.07031,83.17146,83.26935,83.36414,83.4694360969913,83.562293671602,83.6527818640751,83.7406026903617,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Angola,AGO,..,..,..,..,24.13376,24.30969,26.2275810955141,26.3756679923904,26.5212733758645,26.6641825709428,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Armenia,ARM,..,83.9565,86.7671,87.04167,87.31986,87.2895,92.0631854018409,92.720798368195,93.3810053216644,94.0429413735251,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Azerbaijan,AZE,..,..,..,..,..,..,83.2413,83.2413,83.2413,83.2413,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Bangladesh,BGD,..,..,39.28098,39.49035,39.70027,39.90964,34.2180245257141,34.4142127162462,34.6109077658593,34.8076036069316,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Barbados,BRB,..,..,88.46935,88.46935,88.46935,88.46935,88.4693506083686,88.4693506083686,88.4693506083686,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
