Country Name,"2015 Population, total","2016 Population, total","2017 Population, total","2018 Population, total"
Afghanistan,34413603,35383128,36296400,37172386
Albania,2880703,2876101,2873457,2866376
Algeria,39728025,40551404,41389198,42228429
American Samoa,55812,55741,55620,55465
Andorra,78011,77297,77001,77006
Angola,27884381,28842484,29816748,30809762
Antigua and Barbuda,93566,94527,95426,96286
Arab World,396028278,404024433,411898965,419790588
Argentina,43131966,43590368,44044811,44494502
Armenia,2925553,2936146,2944809,2951776
Aruba,104341,104872,105366,105845
Australia,23815995,24190907,24601860,24982688
Austria,8642699,8736668,8797566,8840521
Azerbaijan,9649341,9757812,9854033,9939800
"Bahamas, The",374206,377931,381761,385640
Bahrain,1371851,1425791,1494074,1569439
Bangladesh,156256276,157970840,159670593,161356039
Barbados,285324,285796,286233,286641
Belarus,9489616,9501534,9498264,9483499
Belgium,11274196,11331422,11375158,11433256
Belize,360933,368400,375769,383071
Benin,10575952,10872067,11175204,11485048
Bermuda,65239,64555,63874,63973
Bhutan,727876,736709,745568,754394
Bolivia,10869730,11031813,11192854,11353142
Bosnia and Herzegovina,3429361,3386267,3351527,3323929
Botswana,2120716,2159944,2205128,2254126
Brazil,204471769,206163058,207833831,209469333
British Virgin Islands,29152,29355,29577,29802
Brunei Darussalam,414907,419800,424473,428962
Bulgaria,7177991,7127822,7075947,7025037
Burkina Faso,18110624,18646378,19193284,19751535
Burundi,10160030,10487998,10827024,11175378
Cabo Verde,524743,531146,537497,543767
Cambodia,15521436,15766293,16009414,16249798
Cameroon,23298368,23926539,24566045,25216237
Canada,35702908,36109487,36543321,37057765
Caribbean small states,7222212,7269386,7314990,7358965
Cayman Islands,61724,62569,63382,64174
Central African Republic,4493170,4537687,4596028,4666377
Central Europe and the Baltics,103257751,102994343,102738854,102511922
Chad,14110975,14561666,15016773,15477751
Channel Islands,165385,166923,168665,170499
Chile,17969353,18209068,18470439,18729160
China,1371220000,1378665000,1386395000,1392730000
Colombia,47520667,48171392,48901066,49648685
Comoros,777424,795592,813892,832322
"Congo, Dem. Rep.",76244544,78789127,81398764,84068091
"Congo, Rep.",4856095,4980999,5110702,5244363
Costa Rica,4847804,4899345,4949954,4999441
Cote d'Ivoire,23226143,23822714,24437469,25069229
Croatia,4203604,4174349,4124531,4087843
Cuba,11324781,11335109,11339259,11338138
Curacao,157980,159664,160175,159800
Cyprus,1160985,1170187,1179680,1189265
Czech Republic,10546059,10566332,10594438,10629928
Denmark,5683483,5728010,5764980,5793636
Djibouti,913993,929112,944097,958920
Dominica,71183,71307,71458,71625
Dominican Republic,10281680,10397743,10513131,10627165
Early-demographic dividend,3122841922,3165142287,3207188541,3249140605
East Asia & Pacific,2282855831,2298514046,2314202003,2328220870
East Asia & Pacific (excluding high income),2038202511,2053116851,2068155660,2081651801
East Asia & Pacific (IDA & IBRD countries),2012980531,2027771091,2042687863,2056064424
Ecuador,16212020,16491115,16785361,17084357
"Egypt, Arab Rep.",92442547,94447072,96442593,98423595
El Salvador,6325124,6356143,6388122,6420744
Equatorial Guinea,1168568,1215179,1262001,1308974
Estonia,1315407,1315790,1317384,1321977
Eswatini,1104044,1113984,1124753,1136191
Ethiopia,100835458,103603501,106400024,109224559
Euro area,339533474,340616924,341164362,341783171
Europe & Central Asia,907498192,911812364,915420161,918793590
Europe & Central Asia (excluding high income),410844329,413361214,415710935,417797257
Europe & Central Asia (IDA & IBRD countries),453034345,455505650,457810292,459865205
European Union,444543759,445485081,446132239,446786293
Faroe Islands,48051,48173,48331,48497
Fiji,868627,872399,877459,883483
Finland,5479531,5495303,5508214,5515525
Fragile and conflict affected situations,696655368,712367454,728015702,743958386
