Country,Year,Prevalence of overweight adults (both sexes) - WHO (2019),Prevalence of overweight adults (females) - WHO (2019),Prevalence of overweight adults (males) - WHO (2019)
Afghanistan,2015,19.1,25.4,19.1
Afghanistan,2016,19.7,26.1,19.7
Africa,2015,30.5,38.2,22.3
Africa,2016,31.1,38.8,22.8
Albania,2015,58,50.5,63.6
Albania,2016,58.7,51.1,64.4
Algeria,2015,59.5,65.5,57
Algeria,2016,60.7,66.1,57.8
Americas,2015,62,60.4,63.6
Americas,2016,62.5,60.9,64.1
Andorra,2015,67.7,56.8,70
Andorra,2016,68.1,56.9,70.3
Angola,2015,23.3,34.1,18.9
Angola,2016,23.9,34.9,19.5
Antigua and Barbuda,2015,47.7,55,39.5
Antigua and Barbuda,2016,48.4,55.6,40.1
Argentina,2015,62.8,58.9,65.7
Argentina,2016,63.4,59.3,66.2
Armenia,2015,54.9,53.9,53.7
Armenia,2016,55.7,54.4,54.2
Australia,2015,66.6,57.6,70.5
Australia,2016,67.2,58.1,70.9
Austria,2015,57.6,46.4,61.4
Austria,2016,58.1,46.8,61.8
Azerbaijan,2015,52.5,53.4,52.2
Azerbaijan,2016,53.5,54.1,52.9
Bahamas,2015,64.5,67.7,59.6
Bahamas,2016,65.2,68.1,60.3
Bahrain,2015,63.6,68.1,63.4
Bahrain,2016,64.4,68.5,64
Bangladesh,2015,18.3,21.5,17.4
Bangladesh,2016,19,22.2,18
Barbados,2015,54.5,59.2,44
Barbados,2016,55.3,59.9,44.7
Belarus,2015,62.3,56.1,62
Belarus,2016,62.9,56.3,62.6
Belgium,2015,63.7,51.2,67.2
Belgium,2016,64.1,51.4,67.6
Belize,2015,50.9,60.7,47.4
Belize,2016,51.8,61.2,48.1
Benin,2015,25.7,36.6,20.7
Benin,2016,26.3,37.3,21.2
Bhutan,2015,24.5,28.8,24.4
Bhutan,2016,25.4,29.6,25.2
Bolivia,2015,52.6,59.3,51.5
Bolivia,2016,53.2,59.8,52.2
Bosnia and Herzegovina,2015,55.8,46.6,59.1
Bosnia and Herzegovina,2016,56.4,47,59.7
Botswana,2015,37.9,56,29.1
Botswana,2016,38.4,56.5,29.7
Brazil,2015,56.1,54.9,56.8
Brazil,2016,56.9,55.4,57.6
Brunei,2015,41.2,40.8,40
Brunei,2016,42.2,41.4,41
Bulgaria,2015,65.7,54.1,68.3
Bulgaria,2016,66.3,54.4,68.9
Burkina Faso,2015,19.4,28.4,15.6
Burkina Faso,2016,20,29.2,16.1
Burundi,2015,18.7,29.3,13.6
Burundi,2016,19.3,30.1,13.9
Cambodia,2015,19.6,23.6,18
Cambodia,2016,20.3,24.2,18.6
Cameroon,2015,29,41,24.6
Cameroon,2016,29.7,41.7,25.2
Canada,2015,67,58,69.3
Canada,2016,67.5,58.5,69.8
Cape Verde,2015,31.3,40.8,26.8
Cape Verde,2016,32.1,41.4,27.5
Central African Republic,2015,22.7,32.6,17.9
Central African Republic,2016,23.2,33.2,18.3
Chad,2015,19.1,29.1,15.6
Chad,2016,19.5,29.8,16
Chile,2015,63.8,61,64.1
Chile,2016,64.4,61.4,64.7
China,2015,32.9,29.5,33.5
China,2016,33.8,30.1,34.5
Colombia,2015,57.9,60.8,55.9
Colombia,2016,58.6,61.2,56.6
Comoros,2015,24.2,35,17.9
Comoros,2016,24.8,35.7,18.2
Congo,2015,27.4,36.8,23.6
Congo,2016,28.1,37.4,24.2
Cook Islands,2015,83.5,85.5,83.3
Cook Islands,2016,83.9,85.8,83.7
Costa Rica,2015,60.5,62.6,59
Costa Rica,2016,61.5,63.3,59.9
Cote d'Ivoire,2015,28,38.8,23.9
Cote d'Ivoire,2016,28.7,39.5,24.5
Croatia,2015,63.7,52.6,65.6
Croatia,2016,64.3,53,66.2
Cuba,2015,61.4,62,53.8
Cuba,2016,62.2,62.5,54.5
Cyprus,2015,60.3,52.3,64.8
Cyprus,2016,60.8,52.7,65.2
Czech Republic,2015,66.1,54.7,69
Czech Republic,2016,66.7,55,69.5
Democratic Republic of Congo,2015,21.6,31.3,17.4
Democratic Republic of Congo,2016,22.1,32,18
Denmark,2015,58.8,47,63.1
Denmark,2016,59.2,47.3,63.6
Djibouti,2015,35,44.1,31.9
Djibouti,2016,35.7,44.6,32.3
Dominica,2015,60,65.2,53.9
Dominica,2016,60.7,65.7,54.7
Dominican Republic,2015,58.9,64.7,55.8
Dominican Republic,2016,59.9,65.3,56.9
Eastern Mediterranean,2015,48.4,52,44.7
Eastern Mediterranean,2016,49,52.6,45.4
Ecuador,2015,54.2,58.7,52
Ecuador,2016,54.9,59.2,52.6
Egypt,2015,61.1,68.9,56.5
Egypt,2016,61.9,69.5,57.2
El Salvador,2015,56.1,61.7,56.3
El Salvador,2016,56.8,62.3,57
Equatorial Guinea,2015,24.5,34.8,18.3
Equatorial Guinea,2016,25.1,35.5,18.7
Eritrea,2015,18.6,27.6,14.4
Eritrea,2016,19.2,28.3,14.7
Estonia,2015,59.9,51.7,59.1
Estonia,2016,60.4,51.9,59.6
Ethiopia,2015,17.6,27.3,13.1
Ethiopia,2016,18.1,28,13.4
Europe,2015,58.2,53.9,62.6
Europe,2016,58.7,54.3,63.1
Fiji,2015,62.7,67.2,59.2
Fiji,2016,63.4,67.7,59.9
Finland,2015,62.1,49.7,65.2
Finland,2016,62.5,50,65.6
France,2015,62.5,51.9,66.4
France,2016,62.9,52.2,66.9
Gabon,2015,36.3,46,33.1
Gabon,2016,36.9,46.4,33.7
Gambia,2015,27.3,38.2,23.8
Gambia,2016,27.9,38.9,24.5
Georgia,2015,56.2,52.9,53.9
Georgia,2016,57.2,53.5,54.6
Germany,2015,62.3,48.1,64.5
Germany,2016,62.8,48.5,64.9
Ghana,2015,28.6,40.3,21.6
Ghana,2016,29.3,41,22.1
Greece,2015,66.5,55.9,67.7
Greece,2016,67.1,56.2,68.2
Grenada,2015,48.4,58.2,43
Grenada,2016,49.4,58.8,43.7
