Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Afghanistan,AFG,637925667.368511,..,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Albania,ALB,..,646305676.491804,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Algeria,DZA,2703474408.40137,13556106802.2149,170461132878.607,191369111470.407,200586904241.375,201436604411.915,186350590140.834,150595236894.628,120788088861.403,104852543743.412,87382910154.0942,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Angola,AGO,..,1198212373.02401,19678661657.2159,27039761554.085,31161778888.6797,31500815461.6599,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Antigua and Barbuda,ATG,27500000,63558884.5284907,136600155.264423,147868733.577765,162045101.996445,202580586.969295,297046137.541925,355728253.383608,330090979.265027,313645370.808951,328659747.502549,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Argentina,ARG,6222040362.99099,25152117244.4134,52207549724.0928,46265800525.8807,43223270863.843,30533919650.6264,31410813269.5239,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Armenia,ARM,..,314200332.802207,1865824296.86233,1932471998.58389,1799374398.90816,2251610255.35403,1489443370.96659,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Aruba,ABW,136430000,235455000,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.513966,980247680,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Australia,AUS,19318743724.0756,18821546023.5147,42267797177.4333,46714016758.3861,49138172006.1935,52837027749.6145,53910325023.2378,45712035070.596,53555791522.7773,66597718118.1818,53880533420.3007,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Austria,AUT,17227717542.1462,17649557521.9085,22241623425.0213,24768999165.179,27211429627.7746,23316756962.0136,25001493235.2233,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656,..
