Country Name,2015 Rural population (% of total population),2016 Rural population (% of total population),2017 Rural population (% of total population),2018 Rural population (% of total population)
Afghanistan,75.197,74.98,74.75,74.505
Albania,42.566,41.579,40.617,39.681
Algeria,29.152,28.541,27.948,27.371
American Samoa,12.762,12.802,12.83,12.847
Andorra,11.655,11.752,11.85,11.938
Angola,36.554,35.851,35.161,34.486
Antigua and Barbuda,75,75.154,75.287,75.401
Arab World,41.9685333240976,41.6547247239303,41.3585165072653,41.0745814068609
Argentina,8.497,8.373,8.251,8.13
Armenia,36.915,36.918,36.897,36.851
Aruba,56.892,56.808,56.707,56.589
Australia,14.299,14.2,14.096,13.988
Austria,42.285,42.095,41.906,41.703
Azerbaijan,45.286,44.979,44.657,44.32
"Bahamas, The",17.254,17.168,17.075,16.975
Bahrain,11.001,10.91,10.814,10.713
Bangladesh,65.692,64.917,64.142,63.368
Barbados,68.751,68.807,68.841,68.853
Belarus,22.819,22.339,21.866,21.405
Belgium,2.124,2.081,2.039,1.999
Belize,54.594,54.505,54.399,54.276
Benin,54.305,53.771,53.232,52.688
Bermuda,0,0,0,0
Bhutan,61.322,60.572,59.833,59.105
Bolivia,31.607,31.262,30.92,30.575
Bosnia and Herzegovina,52.827,52.482,52.124,51.755
Botswana,32.845,32.067,31.3,30.554
Brazil,14.23,13.958,13.691,13.431
British Virgin Islands,53.417,53.043,52.663,52.277
Brunei Darussalam,23.337,23.01,22.688,22.371
Bulgaria,26.01,25.671,25.331,24.992
Burkina Faso,72.47,71.866,71.257,70.642
Burundi,87.922,87.612,87.294,86.968
Cabo Verde,35.7,35.216,34.739,34.268
Cambodia,77.812,77.418,77.02,76.612
Cameroon,45.422,44.821,44.223,43.626
Canada,18.741,18.7,18.65,18.589
Caribbean small states,49.2153159727242,49.0936074079709,48.9553783184939,48.8006384223868
Cayman Islands,0,0,0,0
Central African Republic,59.723,59.382,59.02,58.636
Central Europe and the Baltics,37.8593167508752,37.8155209053666,37.7514462386353,37.6679239372373
Chad,77.485,77.323,77.142,76.941
Channel Islands,69.038,69.07,69.086,69.086
Chile,12.64,12.578,12.51,12.436
China,44.5,43.264,42.04,40.848
Colombia,20.236,19.892,19.554,19.222
Comoros,71.53,71.381,71.216,71.035
"Congo, Dem. Rep.",57.26,56.693,56.12,55.54
"Congo, Rep.",34.457,33.999,33.541,33.084
Costa Rica,23.138,22.265,21.44,20.66
Cote d'Ivoire,50.556,50.119,49.674,49.221
Croatia,43.845,43.597,43.333,43.053
