Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Albania,ALB,..,34.8,31.2,30.7,30.2,29.8,29.5,29.1,28.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Algeria,DZA,..,16.6,15.2,15.2,15.3,15.3,15.4,15.5,15.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Andorra,AND,..,37.4,34.8,34.5,34.2,34.1,33.9,33.7,33.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Argentina,ARG,..,41.4,27.5,26.3,25.4,24.4,23.5,22.5,21.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Armenia,ARM,..,31.8,29.3,28.7,27.5,26.5,25.5,24.5,24.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Australia,AUS,..,24.5,17.8,17.2,16.7,16.2,15.7,15.2,14.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Austria,AUT,..,49.1,35.7,34.6,33.6,32.4,31.4,30.6,29.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Azerbaijan,AZE,..,26.7,22.9,22.4,22.2,21.8,21.5,21.3,20.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Bahamas, The",BHS,..,10.6,10.9,11,11.1,11.2,11.2,11.4,11.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bahrain,BHR,..,22.4,25,25.2,25.4,25.6,25.8,26,26.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bangladesh,BGD,..,31.4,25.3,24.8,24.4,24,23.5,23.2,23,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Barbados,BRB,..,8.3,7.9,7.9,7.9,7.9,7.8,7.8,7.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Belarus,BLR,..,36.7,29.9,29.4,28.8,28.2,27.7,27.2,26.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Belgium,BEL,..,37.4,31.1,30.6,30.1,29.6,29.1,28.6,28.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Benin,BEN,..,9.1,7.2,7.1,6.9,6.8,6.7,6.5,6.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bosnia and Herzegovina,BIH,..,47.7,41.7,41.2,40.7,40.2,39.7,39.4,38.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Botswana,BWA,..,19.5,19.7,19.7,19.7,19.7,19.7,19.7,20,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Brazil,BRA,..,25.2,17.2,16.7,16,15.5,14.9,14.3,13.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Brunei Darussalam,BRN,..,17,16.9,17,16.9,16.9,16.9,16.9,16.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Bulgaria,BGR,..,52,41.8,40.9,39.9,39.3,38.5,37.7,37,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Burkina Faso,BFA,..,17.2,13.6,13.3,13.2,13,12.8,12.7,12.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cabo Verde,CPV,..,13,10.2,10,9.8,9.6,9.5,9.3,9.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cambodia,KHM,..,30.1,21,20.3,19.7,18.9,18.3,17.7,17.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Canada,CAN,..,28.2,18.4,17.6,16.9,16.3,15.6,15,14.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Chile,CHL,..,56.6,43.6,42.6,41.5,40.6,39.6,38.7,37.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,China,CHN,..,30.1,27.1,26.7,26.7,26.4,26.1,25.8,25.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Colombia,COL,..,20.1,12,11.5,10.9,10.4,9.9,9.5,9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Comoros,COM,..,21.1,16.1,15.7,15.3,15,14.7,14.4,14,..,..,..
