Country Name,"2015 Total reserves (includes gold, current US$)","2016 Total reserves (includes gold, current US$)","2017 Total reserves (includes gold, current US$)","2018 Total reserves (includes gold, current US$)"
Afghanistan,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946
Albania,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681
Algeria,150595236894.628,120788088861.403,104852543743.412,87382910154.0942
American Samoa,..,..,..,..
Andorra,..,..,..,..
Angola,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47
Antigua and Barbuda,355728253.383608,330090979.265027,313645370.808951,328659747.502549
Arab World,..,..,..,..
Argentina,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418
Armenia,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197
Aruba,815800560,922550890,907111452.513966,980247680
Australia,45712035070.596,53555791522.7773,66597718118.1818,53880533420.3007
Austria,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656
Azerbaijan,7319394112.32726,6573862903.11433,6680532216.7134,6665989936.45047
"Bahamas, The",895475136.251959,1001933945.18353,1413972940.85571,..
Bahrain,3546207932.19981,2611989314.00794,2823123079.34137,2334278370.00967
Bangladesh,27493077971.9949,32283838538.9037,33431482893.1712,32028383716.5949
Barbados,553604323.881265,431758241.990471,..,..
Belarus,4172797260.41231,4907608003.26984,7315236708.5196,7157559690.48716
Belgium,24101851039.0629,23480922147.456,26151437584.4711,26856799008.9529
Belize,437151657.938585,376735092.705476,312140148.194318,294468435.057294
Benin,..,..,..,..
Bermuda,..,..,..,..
Bhutan,1103179128.57934,1127277331.66278,1206238190.85106,987247035.583982
Bolivia,13049620686.0687,10053627485.0797,10245969449.6731,8929614182.53614
Bosnia and Herzegovina,4790984890.64006,5136418168.10228,6473729518.60968,6808433501.27296
Botswana,7546144960.24368,7188821774.82296,7490512373.36878,6656913637.84624
Brazil,356464980327.488,364984039092.456,373955518686.487,374709673447.828
British Virgin Islands,..,..,..,..
Brunei Darussalam,3366322585.18654,3487053368.54429,3488124299.73021,3407126454.77295
Bulgaria,22153050488.9051,25176065815.9197,28375830876.2926,28711039864.6649
Burkina Faso,..,..,..,..
Burundi,136134382.176262,95158477.5306259,97402580.425552,68126200.7714545
Cabo Verde,494495560.716106,572736752.547996,617362329.826463,606430600.295088
Cambodia,7306761263.12661,8851524981.10859,11780356004.4478,13885663251.0401
Cameroon,3536255065.98645,2225708778.07818,3196791410.74604,3459329760.96426
Canada,79753521149.8993,82718110857.6299,86677706696.7064,83925602808.0082
Caribbean small states,..,..,..,..
Cayman Islands,..,..,..,162073506
Central African Republic,213800567.288047,239797985.500412,362717270.49893,361797180.317651
Central Europe and the Baltics,..,..,..,..
Chad,368916823.816674,8184292.08845216,8575237.41520016,147750165.909777
Channel Islands,..,..,..,..
Chile,38641176606.0315,40493293729.5297,38981539753.7984,39858824174.8114
China,3405253363888.14,3097658421378.4,3235681607213.04,3168216331199.09
Colombia,46222893468.525,46173772892.6654,47131104746.7563,47887623364.3511
Comoros,200562427.653927,159412124.098012,207879895.509358,199213183.261238
"Congo, Dem. Rep.",1215934551.45168,708160749.155332,695398161.997957,665272094.992908
"Congo, Rep.",2221497219.19564,714352000.79598,379984138.830498,423617388.256644
Costa Rica,7833931554.67419,7573806767.99203,7149834513.74318,7500924411.18614
Cote d'Ivoire,..,..,..,..
Croatia,14966894623.4156,14244345198.2049,18818215998.8714,19991304927.8836
Cuba,..,..,..,..
Curacao,..,..,..,..
Cyprus,807868870.831618,812488586.049062,887692448.704109,924201541.467494
Czech Republic,64490290734.1553,85725304288.2449,147976372277.252,142511752519.564
Denmark,65185093406.2789,64215805619.9462,75244445865.8039,70942078373.7473
Djibouti,364857284.064063,407414266.733581,556097628.852465,454193909.718601
Dominica,126225919.300594,221907763.515912,212292574.606832,191323608.30539
Dominican Republic,5266043354.25313,6134227406.75062,6872905749.30285,7717561574.1843
Early-demographic dividend,..,..,..,..
East Asia & Pacific,..,..,..,..
East Asia & Pacific (excluding high income),..,..,..,..
East Asia & Pacific (IDA & IBRD countries),..,..,..,..
Ecuador,2487276599.56405,4215553160.05677,2169697856.6482,2158694032.4143
"Egypt, Arab Rep.",15858887325.7756,23642691705.9678,36400242555.8255,41839242990.7097
El Salvador,2786587496.10091,3238334348.81609,3567268275.79971,3568810597.97393
Equatorial Guinea,1205154515.65311,62307444.1358487,45502925.1067975,48929813.6121629
Eritrea,..,..,..,..
Estonia,414798362.438981,352140743.414626,345036507.941262,755005588.304243
Eswatini,547997264.064542,564314115.627588,563119751.253451,440685903.013845
Ethiopia,3835287576.46954,3030943950.63996,3045571314.79781,3987464165.90059
Euro area,701552553007.993,741790800990.739,802685567836.537,822526232328.578
Europe & Central Asia,..,..,..,..
Europe & Central Asia (excluding high income),..,..,..,..
Europe & Central Asia (IDA & IBRD countries),..,..,..,..
European Union,..,..,..,..
Faroe Islands,..,..,..,..
Fiji,918959350.368621,908823039.760341,1116363704.4475,947653331.857671
