Country Name,2015 Urban population (% of total population),2016 Urban population (% of total population),2017 Urban population (% of total population),2018 Urban population (% of total population)
Afghanistan,24.803,25.02,25.25,25.495
Albania,57.434,58.421,59.383,60.319
Algeria,70.848,71.459,72.052,72.629
American Samoa,87.238,87.198,87.17,87.153
Andorra,88.345,88.248,88.15,88.062
Angola,63.446,64.149,64.839,65.514
Antigua and Barbuda,25,24.846,24.713,24.599
Arab World,58.0314666759024,58.3452752760698,58.6414834927347,58.9254185931391
Argentina,91.503,91.627,91.749,91.87
Armenia,63.085,63.082,63.103,63.149
Aruba,43.108,43.192,43.293,43.411
Australia,85.701,85.8,85.904,86.012
Austria,57.715,57.905,58.094,58.297
Azerbaijan,54.714,55.021,55.343,55.68
"Bahamas, The",82.746,82.832,82.925,83.025
Bahrain,88.999,89.09,89.186,89.287
Bangladesh,34.308,35.083,35.858,36.632
Barbados,31.249,31.193,31.159,31.147
Belarus,77.181,77.661,78.134,78.595
Belgium,97.876,97.919,97.961,98.001
Belize,45.406,45.495,45.601,45.724
Benin,45.695,46.229,46.768,47.312
Bermuda,100,100,100,100
Bhutan,38.678,39.428,40.167,40.895
Bolivia,68.393,68.738,69.08,69.425
Bosnia and Herzegovina,47.173,47.518,47.876,48.245
Botswana,67.155,67.933,68.7,69.446
Brazil,85.77,86.042,86.309,86.569
British Virgin Islands,46.583,46.957,47.337,47.723
Brunei Darussalam,76.663,76.99,77.312,77.629
Bulgaria,73.99,74.329,74.669,75.008
Burkina Faso,27.53,28.134,28.743,29.358
Burundi,12.078,12.388,12.706,13.032
Cabo Verde,64.3,64.784,65.261,65.732
Cambodia,22.188,22.582,22.98,23.388
Cameroon,54.578,55.179,55.777,56.374
Canada,81.259,81.3,81.35,81.411
Caribbean small states,50.7846840272758,50.9063925920291,51.0446216815061,51.1993615776132
Cayman Islands,100,100,100,100
Central African Republic,40.277,40.618,40.98,41.364
Central Europe and the Baltics,62.1406832491248,62.1844790946334,62.2485537613647,62.3320760627627
Chad,22.515,22.677,22.858,23.059
Channel Islands,30.962,30.93,30.914,30.914
Chile,87.36,87.422,87.49,87.564
China,55.5,56.736,57.96,59.152
Colombia,79.764,80.108,80.446,80.778
Comoros,28.47,28.619,28.784,28.965
"Congo, Dem. Rep.",42.74,43.307,43.88,44.46
"Congo, Rep.",65.543,66.001,66.459,66.916
Costa Rica,76.862,77.735,78.56,79.34
Cote d'Ivoire,49.444,49.881,50.326,50.779
Croatia,56.155,56.403,56.667,56.947
Cuba,76.896,76.93,76.977,77.037
Curacao,89.352,89.272,89.203,89.145
Cyprus,66.946,66.881,66.836,66.81
Czech Republic,73.477,73.57,73.675,73.792
Denmark,87.526,87.642,87.757,87.874
Djibouti,77.417,77.528,77.648,77.777
Dominica,69.579,69.88,70.181,70.483
Dominican Republic,78.566,79.436,80.277,81.074
Early-demographic dividend,43.9299787727318,44.3277678165673,44.7270353172155,45.1312566986719
East Asia & Pacific,56.4384209579409,57.3214591494905,58.1965638817572,59.0527886714373
East Asia & Pacific (excluding high income),52.6853247515958,53.6815997421951,54.6695348784554,55.6335882382637
East Asia & Pacific (IDA & IBRD countries),52.5771022562816,53.5836815868044,54.581614905368,55.5550920185359
Ecuador,63.398,63.534,63.67,63.821
"Egypt, Arab Rep.",42.785,42.732,42.705,42.704
El Salvador,69.7,70.501,71.275,72.023
Equatorial Guinea,70.616,71.138,71.646,72.143
Eritrea,..,..,..,..
Estonia,68.416,68.563,68.717,68.88
Eswatini,23.3,23.459,23.625,23.799
Ethiopia,19.428,19.866,20.31,20.763
Euro area,76.3397020364095,76.5543043808563,76.7699188658867,76.9917327106284
Europe & Central Asia,71.6219247199629,71.8055944841346,71.9910658774292,72.1835105010589
Europe & Central Asia (excluding high income),66.4280326081937,66.5962263281727,66.76903432485,66.9473805143823
Europe & Central Asia (IDA & IBRD countries),65.8145985008816,65.9652866045441,66.1226639546601,66.2868323125935
European Union,73.9081841044899,74.1050270851854,74.3068695064828,74.515699074244
Faroe Islands,41.638,41.777,41.914,42.064
Fiji,54.726,55.235,55.742,56.248
Finland,85.225,85.275,85.325,85.382
Fragile and conflict affected situations,43.6789961384569,44.1021124039759,44.5169971864979,44.9366209619945
France,79.655,79.917,80.18,80.444
French Polynesia,61.683,61.734,61.784,61.834
Gabon,88.118,88.559,88.976,89.37
"Gambia, The",59.228,59.918,60.599,61.27
Georgia,57.448,57.837,58.231,58.632
Germany,77.2,77.224,77.261,77.312
Ghana,54.086,54.749,55.407,56.06
Gibraltar,100,100,100,100
Greece,78.046,78.387,78.724,79.058
Greenland,86.071,86.326,86.574,86.816
Grenada,35.997,36.072,36.164,36.272
Guam,94.534,94.617,94.699,94.78
Guatemala,49.971,50.319,50.68,51.054
Guinea,35.141,35.46,35.793,36.14
Guinea-Bissau,42.123,42.533,42.945,43.36
Guyana,26.441,26.482,26.538,26.606
Haiti,52.427,53.396,54.346,55.278
Heavily indebted poor countries (HIPC),34.641468801197,35.0890803997938,35.5443922880076,36.0084652627508
High income,80.8022128299287,80.9765986304945,81.1544519764178,81.3349783647456
Honduras,55.165,55.813,56.457,57.096
"Hong Kong SAR, China",100,100,100,100
Hungary,70.5,70.779,71.062,71.351
IBRD only,53.1603647855854,53.7823647380138,54.4019831161658,55.0124279996674
Iceland,93.7,93.735,93.773,93.813
IDA & IBRD total,48.8075193598832,49.3495993246101,49.8896193723405,50.4222017748257
IDA blend,41.0052881488064,41.4597013002718,41.9155207848192,42.3804250236419
IDA only,32.8469868705746,33.3274338420681,33.8165006946649,34.3159699173835
IDA total,35.6131168201913,36.0858796908057,36.5641806829238,37.0518650600215
India,32.777,33.182,33.6,34.03
Indonesia,53.313,53.989,54.659,55.325
"Iran, Islamic Rep.",73.358,73.88,74.394,74.898
Iraq,69.921,70.094,70.278,70.473
